嫌疑账户ID,交易方向,对手账户ID,对手标签,交易时间,交易金额,嫌疑账户客户类型,嫌疑账户地区,嫌疑账户开户时长(月)
4379,in,10949,其它,20251119 15:38:14,3000.00,对私,277,6.32
4379,out,10662,其它,20251119 15:37:53,3000.00,对私,277,6.32
4379,out,10949,其它,20251119 15:37:53,3000.00,对私,277,6.32
4379,in,10662,其它,20251119 15:38:14,3000.00,对私,277,6.32
7265,out,1137,其它,20251106 10:15:59,564.30,对私,900,7.03
7265,out,1137,其它,20251115 18:00:04,188.10,对私,900,7.03
7265,out,7238,其它,20251206 11:21:36,564.30,对私,900,7.03
7265,out,7238,其它,20251106 10:15:59,564.30,对私,900,7.03
7265,out,7238,其它,20251115 18:00:04,188.10,对私,900,7.03
7265,out,1137,其它,20251206 11:21:36,564.30,对私,900,7.03
1740,in,3863,其它,20250731 10:39:16,3164.00,对私,177,175.68
1740,in,7838,其它,20251127 16:33:25,3084.40,对私,177,175.68
1740,in,3863,其它,20251127 16:33:25,3084.40,对私,177,175.68
1740,in,7838,其它,20251224 16:35:05,3166.04,对私,177,175.68
1740,in,3863,其它,20251224 16:35:05,3166.04,对私,177,175.68
1740,in,7838,其它,20250731 10:39:16,3164.00,对私,177,175.68
5260,无直接交易,,,,,对私,434,5.16
7951,无直接交易,,,,,对私,745,5.13
