排名,账户脱敏id,客户类型,地区编码,开户时长(月),直接交易笔数,1跳关联账户数,2跳关联账户数,1跳受害者数,2跳受害者数,1跳嫌疑人关联数,2跳嫌疑人关联数,直接交易评分,关联网络评分,账户特征评分,综合风险评分
1,4379,对私,277,6.32,4,2,27,0,1,0,0,8,3,3,14
2,7265,对私,900,7.03,6,2,2,0,2,0,0,3,3,3,9
3,1740,对私,177,175.68,6,2,7,0,1,0,0,3,3,0,6
4,5260,对私,434,5.16,0,0,0,0,0,0,0,0,0,5,5
5,7951,对私,745,5.13,0,0,0,0,0,0,0,0,0,5,5
6,7700,对私,673,5.84,0,0,0,0,0,0,0,0,0,5,5
7,7329,对私,755,5.81,0,0,0,0,0,0,0,0,0,5,5
8,1591,对私,33,5.81,0,0,0,0,0,0,0,0,0,5,5
9,3832,对私,388,5.45,0,0,0,0,0,0,0,0,0,5,5
10,4625,对私,17,7.52,0,0,0,0,0,0,0,0,0,3,3
11,4288,对私,166,11.19,0,0,0,0,0,0,0,0,0,3,3
12,1865,对公,731,6.77,0,0,0,0,0,0,0,0,0,3,3
13,10443,对私,468,9.00,0,0,0,0,0,0,0,0,0,3,3
14,716,对私,723,6.16,0,0,0,0,0,0,0,0,0,3,3
15,4955,对私,433,9.68,0,0,0,0,0,0,0,0,0,3,3
16,10087,对私,381,8.65,0,0,0,0,0,0,0,0,0,3,3
17,7297,对私,448,20.35,0,0,0,0,0,0,0,0,0,0,0
18,9610,对私,664,22.45,0,0,0,0,0,0,0,0,0,0,0
19,6155,对私,723,45.39,0,0,0,0,0,0,0,0,0,0,0
20,3472,对私,451,82.45,0,0,0,0,0,0,0,0,0,0,0
21,3089,对私,394,49.58,0,0,0,0,0,0,0,0,0,0,0
22,18,对私,280,49.35,0,0,0,0,0,0,0,0,0,0,0
23,4629,对私,255,43.39,0,0,0,0,0,0,0,0,0,0,0
24,10774,对私,599,134.35,0,0,0,0,0,0,0,0,0,0,0
25,279,对私,77,37.16,0,0,0,0,0,0,0,0,0,0,0
26,9373,对私,211,69.97,0,0,0,0,0,0,0,0,0,0,0
27,7586,对私,761,18.13,0,0,0,0,0,0,0,0,0,0,0
28,7206,对公,664,12.55,0,0,0,0,0,0,0,0,0,0,0
29,5545,对私,733,93.00,0,0,0,0,0,0,0,0,0,0,0
30,11051,对私,666,108.42,0,0,0,0,0,0,0,0,0,0,0
31,6830,对私,277,150.48,0,0,0,0,0,0,0,0,0,0,0
32,8753,对私,125,79.48,0,0,0,0,0,0,0,0,0,0,0
33,4664,对私,799,97.00,0,0,0,0,0,0,0,0,0,0,0
34,10814,对公,416,24.26,0,0,0,0,0,0,0,0,0,0,0
35,1090,对公,416,15.10,0,0,0,0,0,0,0,0,0,0,0
36,8771,对私,690,87.55,0,0,0,0,0,0,0,0,0,0,0
37,1733,对私,311,113.52,0,0,0,0,0,0,0,0,0,0,0
38,6094,对公,949,188.74,0,0,0,0,0,0,0,0,0,0,0
39,4176,对私,678,80.81,0,0,0,0,0,0,0,0,0,0,0
40,5714,对公,585,144.68,0,0,0,0,0,0,0,0,0,0,0
41,4951,对私,790,76.65,0,0,0,0,0,0,0,0,0,0,0
42,217,对私,74,44.23,0,0,0,0,0,0,0,0,0,0,0
43,4954,对私,444,73.42,0,0,0,0,0,0,0,0,0,0,0
44,2398,对私,731,140.10,0,0,0,0,0,0,0,0,0,0,0
45,223,对私,911,20.84,0,0,0,0,0,0,0,0,0,0,0
46,4583,对公,463,52.10,0,0,0,0,0,0,0,0,0,0,0
47,1256,对公,416,48.16,0,0,0,0,0,0,0,0,0,0,0
48,3050,对私,556,263.87,0,0,0,0,0,0,0,0,0,0,0
49,7404,对公,664,14.74,0,0,0,0,0,0,0,0,0,0,0
50,2413,对私,551,46.32,0,0,0,0,0,0,0,0,0,0,0
51,5358,对私,460,36.68,0,0,0,0,0,0,0,0,0,0,0
52,9070,对私,755,97.16,0,0,0,0,0,0,0,0,0,0,0
53,10604,对私,311,70.71,0,0,0,0,0,0,0,0,0,0,0
54,113,对私,655,64.97,0,0,0,0,0,0,0,0,0,0,0
55,8820,对私,37,34.39,0,0,0,0,0,0,0,0,0,0,0
56,2422,对私,690,134.06,0,0,0,0,0,0,0,0,0,0,0
57,9721,对私,877,82.90,0,0,0,0,0,0,0,0,0,0,0
58,3322,对私,860,75.10,0,0,0,0,0,0,0,0,0,0,0
59,4859,对私,860,39.84,0,0,0,0,0,0,0,0,0,0,0
