root_account_id,window,src,dst,txn_count,amount_sum,amount_bin,first_time,last_time,self_loop_count,non_positive_count
9365,2025-09,9365,5918,1,300000.0,b4,2025-09-30 09:48:34,2025-09-30 09:48:34,0,0
9365,2025-09,9365,1511,1,300000.0,b4,2025-09-30 09:48:34,2025-09-30 09:48:34,0,0
2076,2025-09,9215,7629,34,55512758.94,b4,2025-09-04 10:17:17,2025-09-29 14:53:15,0,0
2076,2025-09,7629,7629,34,55512758.94,b4,2025-09-04 10:17:17,2025-09-29 14:53:15,34,0
2076,2025-09,7629,9215,34,55512758.940000005,b4,2025-09-04 10:17:17,2025-09-29 14:53:15,0,0
2076,2025-09,9215,9215,34,55512758.940000005,b4,2025-09-04 10:17:17,2025-09-29 14:53:15,34,0
2076,2025-09,7629,2076,2,455.1,b0,2025-09-24 13:29:41,2025-09-24 13:31:34,0,0
2076,2025-09,9215,2076,2,455.1,b0,2025-09-24 13:29:41,2025-09-24 13:31:34,0,0
2076,2025-10,7629,7629,16,611838.84,b4,2025-10-09 15:11:22,2025-10-29 15:13:19,16,0
2076,2025-10,9215,7629,16,611838.84,b4,2025-10-09 15:11:22,2025-10-29 15:13:19,0,0
2076,2025-10,7629,9215,16,611838.84,b4,2025-10-09 15:11:22,2025-10-29 15:13:19,0,0
2076,2025-10,9215,9215,16,611838.84,b4,2025-10-09 15:11:22,2025-10-29 15:13:19,16,0
2076,2025-10,7629,2076,5,2089.0,b0,2025-10-17 13:54:10,2025-10-24 15:14:06,0,0
2076,2025-10,9215,2076,5,2089.0,b0,2025-10-17 13:54:10,2025-10-24 15:14:06,0,0
2076,2025-11,7629,7629,41,2284969.03,b4,2025-11-05 09:36:09,2025-11-28 09:18:11,41,0
2076,2025-11,7629,9215,41,2284969.03,b4,2025-11-05 09:36:09,2025-11-28 09:18:11,0,0
2076,2025-11,9215,7629,41,2284969.03,b4,2025-11-05 09:36:09,2025-11-28 09:18:11,0,0
2076,2025-11,9215,9215,41,2284969.03,b4,2025-11-05 09:36:09,2025-11-28 09:18:11,41,0
2076,2025-12,7629,7629,62,36253084.15,b4,2025-12-01 14:30:37,2025-12-25 11:04:52,62,0
2076,2025-12,7629,9215,62,36253084.15,b4,2025-12-01 14:30:37,2025-12-25 11:04:52,0,0
2076,2025-12,9215,7629,62,36253084.15,b4,2025-12-01 14:30:37,2025-12-25 11:04:52,0,0
2076,2025-12,9215,9215,62,36253084.15,b4,2025-12-01 14:30:37,2025-12-25 11:04:52,62,0
10433,2025-09,9215,7629,34,55512758.94,b4,2025-09-04 10:17:17,2025-09-29 14:53:15,0,0
10433,2025-09,7629,7629,34,55512758.94,b4,2025-09-04 10:17:17,2025-09-29 14:53:15,34,0
10433,2025-09,7629,9215,34,55512758.940000005,b4,2025-09-04 10:17:17,2025-09-29 14:53:15,0,0
10433,2025-09,9215,9215,34,55512758.940000005,b4,2025-09-04 10:17:17,2025-09-29 14:53:15,34,0
10433,2025-10,7629,7629,16,611838.84,b4,2025-10-09 15:11:22,2025-10-29 15:13:19,16,0
10433,2025-10,9215,7629,16,611838.84,b4,2025-10-09 15:11:22,2025-10-29 15:13:19,0,0
10433,2025-10,7629,9215,16,611838.84,b4,2025-10-09 15:11:22,2025-10-29 15:13:19,0,0
10433,2025-10,9215,9215,16,611838.84,b4,2025-10-09 15:11:22,2025-10-29 15:13:19,16,0
10433,2025-10,7629,10433,2,13087.0,b2,2025-10-14 13:54:18,2025-10-15 15:08:10,0,0
10433,2025-10,9215,10433,2,13087.0,b2,2025-10-14 13:54:18,2025-10-15 15:08:10,0,0
10433,2025-11,7629,7629,41,2284969.03,b4,2025-11-05 09:36:09,2025-11-28 09:18:11,41,0
10433,2025-11,7629,9215,41,2284969.03,b4,2025-11-05 09:36:09,2025-11-28 09:18:11,0,0
10433,2025-11,9215,7629,41,2284969.03,b4,2025-11-05 09:36:09,2025-11-28 09:18:11,0,0
10433,2025-11,9215,9215,41,2284969.03,b4,2025-11-05 09:36:09,2025-11-28 09:18:11,41,0
10433,2025-12,7629,7629,62,36253084.15,b4,2025-12-01 14:30:37,2025-12-25 11:04:52,62,0
10433,2025-12,7629,9215,62,36253084.15,b4,2025-12-01 14:30:37,2025-12-25 11:04:52,0,0
10433,2025-12,9215,7629,62,36253084.15,b4,2025-12-01 14:30:37,2025-12-25 11:04:52,0,0
