account_id,score,risk_rank,label_text,explanation_grade,explanation_reason,has_direct_association,has_suspicious_path_or_structure,feature_nonzero_count,feature_evidence,short_evidence,history_txn_count,history_amount_sum,direct_counterparty_count,first_txn_time,last_txn_time,recommended_next_step
4379,0.9653166155511456,176,嫌疑人,A,链路证据型：存在多跳可疑路径或资金流结构，可直接画资金链路。,True,True,5,历史交易数=4；历史交易金额=1.2e+04；直接交易对手=2；交易时间跨度=2025-11-19 15:37:53至2025-11-19 15:38:14；dyn_total_active_week_count=1(分位44.8%)；dyn_total_week_txn_burst_ratio=1(分位100.0%)；dyn_cp_new_second_half_ratio=1(分位100.0%),存在可追溯资金链路或资金结构。,4,12000.0,2,2025-11-19 15:37:53,2025-11-19 15:38:14,进入人工复核队列，核验上下游账户和关键交易时间。
1740,0.8451831138372723,1478,嫌疑人,B,直接关联型：存在直接交易对手，可输出 Top20 关联账户。,True,False,6,历史交易数=6；历史交易金额=1.883e+04；直接交易对手=2；交易时间跨度=2025-07-31 10:39:16至2025-12-24 16:35:05；total_txn_count=2(分位61.3%)；total_amount_sum=6332(分位53.5%)；counterparty_amount_top_ratio=0.5(分位96.5%),存在直接交易对手，可进行上下游核验。,6,18828.88,2,2025-07-31 10:39:16,2025-12-24 16:35:05,进入人工复核队列，核验上下游账户和关键交易时间。
7265,0.7891394551686812,2162,嫌疑人,B,直接关联型：存在直接交易对手，可输出 Top20 关联账户。,True,False,6,历史交易数=6；历史交易金额=2633；直接交易对手=2；交易时间跨度=2025-11-06 10:15:59至2025-12-06 11:21:36；total_txn_count=2(分位61.3%)；total_amount_sum=1129(分位47.8%)；counterparty_amount_top_ratio=0.5(分位96.5%),存在直接交易对手，可进行上下游核验。,6,2633.3999999999996,2,2025-11-06 10:15:59,2025-12-06 11:21:36,进入人工复核队列，核验上下游账户和关键交易时间。
5260,0.9983943712790908,2,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
4955,0.9978531481147394,3,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
1865,0.996572253292441,6,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
716,0.9965181309760056,7,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
7951,0.99621143784954,8,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
7329,0.9961031932166696,9,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
3832,0.9960310301280896,11,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
1090,0.9946328702868484,12,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
7700,0.9937037705213784,16,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
1256,0.9935414035720728,17,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
7297,0.9922605087497745,18,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
7404,0.9914667147753924,23,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
10087,0.9912321847375068,25,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
10443,0.9912141439653618,26,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
7206,0.990907450838896,27,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
6155,0.988047988453906,35,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
5358,0.9863882374165616,43,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
9610,0.9863250947140538,44,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
4583,0.9856215046003968,48,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
3472,0.9855583618978894,53,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
1591,0.9850171387335378,57,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
18,0.9847014252209996,60,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
4176,0.9832581634493957,66,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
10814,0.9832401226772506,67,嫌疑人,D,数据缺边型：交易边表没有该账户历史交易，不能生成可信资金链路。,False,False,0,交易统计、图结构、动态资金图谱特征均为0，说明当前交易边表没有覆盖该账户行为。,交易边表未覆盖该账户，无法生成可信链路。,0,0.0,0,,,补充该账户完整交易流水或扩大子图抽样范围。
