model,model_family,profile_policy,split,evaluation_scope,auc,pr_auc,top1pct_hits,top1pct_recall,top5pct_hits,top5pct_recall
LogisticRegression,traditional_baseline,drop_customer_type,train,all_accounts,0.8866360204840682,0.04844641711530767,8,0.13559322033898305,20,0.3389830508474576
LogisticRegression,traditional_baseline,drop_customer_type,valid,all_accounts,0.8154505019580359,0.03669000254580262,7,0.11864406779661017,17,0.288135593220339
LogisticRegression,traditional_baseline,drop_customer_type,test,all_accounts,0.8495332374295322,0.044393045023720455,8,0.13559322033898305,19,0.3220338983050847
RandomForest,traditional_baseline,drop_customer_type,train,all_accounts,0.9955175731420176,0.5773778129403142,40,0.6779661016949152,59,1.0
RandomForest,traditional_baseline,drop_customer_type,valid,all_accounts,0.9707316660826371,0.46855104572108,39,0.6610169491525424,56,0.9491525423728814
RandomForest,traditional_baseline,drop_customer_type,test,all_accounts,0.9860393881829304,0.5135960009426662,40,0.6779661016949152,58,0.9830508474576272
动态资金图谱RandomForest,dynamic_graph_random_forest,drop_customer_type,train,all_accounts,0.9954007672304088,0.5609549471431579,40,0.6779661016949152,59,1.0
动态资金图谱RandomForest,dynamic_graph_random_forest,drop_customer_type,valid,all_accounts,0.9723285258479187,0.5336003103404614,39,0.6610169491525424,56,0.9491525423728814
动态资金图谱RandomForest,dynamic_graph_random_forest,drop_customer_type,test,all_accounts,0.9822616390943238,0.5481413714152193,40,0.6779661016949152,57,0.9661016949152542
GraphSAGE,pytorch_geometric_gnn,drop_customer_type,train,all_accounts,0.8876273338128524,0.06137589055407356,8,0.13559322033898305,21,0.3559322033898305
GraphSAGE,pytorch_geometric_gnn,drop_customer_type,valid,all_accounts,0.8778678925139707,0.06005060890351392,7,0.11864406779661017,20,0.3389830508474576
GraphSAGE,pytorch_geometric_gnn,drop_customer_type,test,all_accounts,0.8853665246552689,0.07265677131774023,9,0.15254237288135594,20,0.3389830508474576
XGBoost统计特征,xgboost_baseline,drop_customer_type,train,all_accounts,0.9905387211596983,0.31929933856764364,31,0.5254237288135594,59,1.0
XGBoost统计特征,xgboost_baseline,drop_customer_type,valid,all_accounts,0.9690418226640355,0.2450567061147543,27,0.4576271186440678,56,0.9491525423728814
