weight_model8_current_best,weight_model9_catboost,weight_model10_tgn,valid_auc,valid_pr_auc,valid_top5pct_recall,valid_top5pct_hits
0.75,0.2,0.05,0.9757020650055637,0.7940291820855534,0.9491525423728814,56
0.5,0.15,0.35,0.9745731973466615,0.7932188196095968,0.9491525423728814,56
0.55,0.15,0.3,0.9748037353300997,0.7929181112986372,0.9491525423728814,56
0.4,0.1,0.5,0.9743879984999662,0.7923895929622305,0.9491525423728814,56
0.2,0.05,0.75,0.9731354087899522,0.7923677083626415,0.9491525423728814,56
0.65,0.2,0.15,0.9753800802886949,0.792362649240185,0.9491525423728814,56
0.6,0.15,0.25,0.9750650117113295,0.7922895199179528,0.9491525423728814,56
0.8,0.2,0.0,0.976110885696194,0.792275304160731,0.9491525423728814,56
0.7,0.2,0.1,0.975499191580138,0.7918559246574246,0.9491525423728814,56
0.35,0.1,0.55,0.9742066419529949,0.7918153275326953,0.9491525423728814,56
0.75,0.25,0.0,0.9759103176506028,0.791764187732793,0.9491525423728814,56
0.6,0.2,0.2,0.9751848914627174,0.791297803631282,0.9491525423728814,56
0.45,0.15,0.4,0.9743119209654317,0.7911604423553726,0.9491525423728814,56
0.15,0.05,0.8,0.9725375469529027,0.7911302655308633,0.9491525423728814,56
0.3,0.1,0.6,0.9738731303369543,0.7911291293301171,0.9491525423728814,56
0.7,0.25,0.05,0.9755437622569362,0.7906045405110872,0.9491525423728814,56
0.65,0.15,0.2,0.9753308988522281,0.7905513703174378,0.9491525423728814,56
0.55,0.2,0.25,0.974944363499997,0.7900959830617418,0.9491525423728814,56
0.65,0.25,0.1,0.9753747010690814,0.7894053737811294,0.9491525423728814,56
0.4,0.15,0.45,0.9741382490179082,0.7893148261454996,0.9491525423728814,56
0.45,0.1,0.45,0.9744663814143351,0.7892701842215326,0.9491525423728814,56
0.5,0.2,0.3,0.9745678181270481,0.788993071215615,0.9491525423728814,56
0.25,0.1,0.65,0.9734074436104092,0.7889670811633046,0.9491525423728814,56
0.7,0.15,0.15,0.9754638424226776,0.7884865116049546,0.9491525423728814,56
0.75,0.15,0.1,0.9755760375746174,0.7878430904327817,0.9491525423728814,56
0.5,0.1,0.4,0.9744863613728998,0.7878077589951747,0.9491525423728814,56
0.25,0.05,0.7,0.9735749678783743,0.78779265871594,0.9491525423728814,56
0.55,0.1,0.35,0.9745870296256678,0.7876775287483074,0.9491525423728814,56
0.8,0.15,0.05,0.9759533514075112,0.7867901943096745,0.9491525423728814,56
0.6,0.25,0.15,0.9751533846049809,0.7864625939270792,0.9491525423728814,56
0.85,0.15,0.0,0.9762622723053184,0.7861518764728602,0.9491525423728814,56
0.35,0.15,0.5,0.9739476709515993,0.786120818017043,0.9491525423728814,56
0.7,0.3,0.0,0.9755583629958872,0.7860939259587906,0.9491525423728814,56
0.6,0.1,0.3,0.9748506113867321,0.7857034045302848,0.9491525423728814,56
0.3,0.05,0.65,0.9740268223259131,0.7856867237369333,0.9491525423728814,56
0.65,0.1,0.25,0.9750880655096734,0.7848851569491959,0.9491525423728814,56
0.45,0.2,0.35,0.9742174003922219,0.7844547320600825,0.9491525423728814,56
0.7,0.1,0.2,0.9753270565525043,0.7840846703088903,0.9491525423728814,56
0.35,0.05,0.6,0.9742373803507867,0.7840566334341793,0.9491525423728814,56
0.75,0.1,0.15,0.9755230138384267,0.7840344689614374,0.9491525423728814,56
0.8,0.1,0.1,0.9756613366284896,0.7830218841810407,0.9491525423728814,56
0.4,0.05,0.55,0.9744341060966538,0.7829869477726124,0.9491525423728814,56
0.55,0.25,0.2,0.9749128566422605,0.7828557366856747,0.9491525423728814,56
0.45,0.05,0.5,0.9744917405925133,0.78245858157219,0.9491525423728814,56
0.65,0.3,0.05,0.9752955496947677,0.7823577176013707,0.9491525423728814,56
0.85,0.1,0.05,0.9760686203992303,0.7822187084329856,0.9491525423728814,56
0.9,0.1,0.0,0.9764490080719033,0.7819187466788367,0.9491525423728814,56
0.5,0.05,0.45,0.974534005889477,0.7802147659420757,0.9491525423728814,56
0.55,0.05,0.4,0.9745209420704155,0.7782350151997679,0.9491525423728814,56
0.6,0.3,0.1,0.9750611694116056,0.7779756692184913,0.9491525423728814,56
0.3,0.15,0.55,0.9735265549018524,0.777923013021808,0.9491525423728814,56
0.4,0.2,0.4,0.9738377811794938,0.7777911437355114,0.9491525423728814,56
0.5,0.25,0.25,0.9745808819461094,0.7777879975543981,0.9491525423728814,56
0.1,0.05,0.85,0.9717006940730223,0.7777244490520174,0.9491525423728814,56
0.2,0.1,0.7,0.9728057394736358,0.7777128700725621,0.9491525423728814,56
0.65,0.35,0.0,0.9752432944185218,0.7763953972587614,0.9491525423728814,56
0.6,0.05,0.35,0.9745670496671032,0.776088639043921,0.9491525423728814,56
0.65,0.05,0.3,0.9747583961933568,0.7751855256255521,0.9491525423728814,56
0.55,0.3,0.15,0.9748237152886642,0.775099619936255,0.9491525423728814,56
0.45,0.25,0.3,0.9742074104129396,0.7749155735339455,0.9491525423728814,56
0.7,0.05,0.25,0.9749958503162981,0.7748801837560466,0.9491525423728814,56
0.75,0.05,0.2,0.9751948814419997,0.7739643306673631,0.9491525423728814,56
0.35,0.2,0.45,0.9735572932996439,0.7737783578692266,0.9491525423728814,56
0.8,0.05,0.15,0.9754046710069284,0.7718970715738059,0.9491525423728814,56
0.6,0.35,0.05,0.9749697226781752,0.7718794996643193,0.9491525423728814,56
0.85,0.05,0.1,0.9756813165870541,0.7705976905461436,0.9491525423728814,56
0.5,0.3,0.2,0.9746523487209753,0.7704385096450754,0.9491525423728814,56
0.25,0.15,0.6,0.973035508997129,0.7703888881205213,0.9491525423728814,56
0.9,0.05,0.05,0.9761170333757523,0.7687941850516065,0.9491525423728814,56
0.4,0.25,0.35,0.9737355760068362,0.7685591750443508,0.9491525423728814,56
0.55,0.35,0.1,0.974739184694737,0.7669105729887264,0.9491525423728814,56
0.45,0.3,0.25,0.9741974204336573,0.7661012408208424,0.9491525423728814,56
0.6,0.4,0.0,0.9749074774226468,0.7660780993226299,0.9491525423728814,56
0.3,0.2,0.5,0.9731615364280752,0.766066555460707,0.9491525423728814,56
0.15,0.1,0.75,0.9719419904956874,0.766045179150904,0.9491525423728814,56
0.95,0.05,0.0,0.976457461131296,0.7642594219536532,0.9491525423728814,56
0.5,0.35,0.15,0.974485592912955,0.7642216216374815,0.9491525423728814,56
0.35,0.25,0.4,0.9732545200813953,0.7623803892641067,0.9491525423728814,56
0.55,0.4,0.05,0.974642358741693,0.7616148168828335,0.9491525423728814,56
0.4,0.3,0.3,0.9737317337071123,0.758999014686416,0.9491525423728814,56
0.2,0.15,0.65,0.9723592642457105,0.7589629387502238,0.9491525423728814,56
0.45,0.35,0.2,0.9742150950123876,0.7577990081468605,0.9491525423728814,56
0.5,0.4,0.1,0.9743818508204078,0.7570303596203395,0.9491525423728814,56
0.25,0.2,0.55,0.9726236144667195,0.756963642169434,0.9491525423728814,56
0.55,0.45,0.0,0.9745854927057781,0.755306521075334,0.9491525423728814,56
0.3,0.25,0.45,0.9727888333548502,0.7547579775181671,0.9491525423728814,56
0.35,0.3,0.35,0.9732237816836036,0.7543700063727637,0.9491525423728814,56
0.4,0.35,0.25,0.9737355760068361,0.7537097239823373,0.9491525423728814,56
0.45,0.4,0.15,0.9740844568217727,0.7525854172721738,0.9491525423728814,56
0.5,0.45,0.05,0.9742811825676398,0.7518482001177774,0.9491525423728814,56
0.45,0.45,0.1,0.9739515132513235,0.7452158257053739,0.9491525423728814,56
0.35,0.35,0.3,0.9731638418079096,0.7451899073982499,0.9491525423728814,56
