fold,model,fit_account_count,validation_account_count,validation_positive_count,train_auc,train_pr_auc,validation_auc,validation_pr_auc,validation_top5pct_recall,class_weight_positive
1,dynamic_random_forest,7947,1987,12,0.9986426070562888,0.7915262114562666,0.9199156118143459,0.047036752746314914,0.5,168.08510638297872
1,catboost,7947,1987,12,0.9679679504443846,0.4395788742809258,0.9262869198312237,0.08046768061159582,0.5833333333333334,168.08510638297872
2,dynamic_random_forest,7947,1987,12,0.9982534338809588,0.8057872028441573,0.9426371308016878,0.09505343640075849,0.6666666666666666,168.08510638297872
2,catboost,7947,1987,12,0.9543226501481281,0.23967623942025873,0.9634177215189874,0.1436536165907313,0.75,168.08510638297872
3,dynamic_random_forest,7947,1987,12,0.9970966873148397,0.7089831803321635,0.9183122362869199,0.194845181130345,0.4166666666666667,168.08510638297872
3,catboost,7947,1987,12,0.9578359816859681,0.36240810431409287,0.9457805907172995,0.18856435110472825,0.5833333333333334,168.08510638297872
4,dynamic_random_forest,7947,1987,12,0.9987341772151898,0.7835613808128931,0.8822995780590717,0.16102407882437839,0.6666666666666666,168.08510638297872
4,catboost,7947,1987,12,0.9609197414489632,0.4401272799093888,0.8857805907172995,0.07739208495986576,0.5,168.08510638297872
5,dynamic_random_forest,7948,1986,11,0.9969963080168777,0.748518094261929,0.8956041426927503,0.027954605268794015,0.18181818181818182,164.58333333333334
5,catboost,7948,1986,11,0.9552412974683544,0.1828095212143982,0.9185730724971232,0.0380738937176532,0.45454545454545453,164.58333333333334
