feature,gain
daily_txn_count_mean,1174.3773193359375
daily_txn_count_max,581.9317016601562
total_amount_sum,447.0195007324219
daily_amount_sum_mean,206.83834838867188
total_txn_count,146.49720764160156
out_txn_count,113.80492401123047
out_counterparty_nunique,90.23977661132812
account_age_months,73.26487731933594
region_code,65.81070709228516
burst_day_txn_ratio,60.32755661010742
net_amount,55.86442565917969
in_amount_per_txn,21.512836456298828
in_amount_mean,20.321687698364258
in_amount_max,20.22394561767578
in_amount_median,18.73159408569336
in_amount_sum,18.133861541748047
in_txn_per_active_day,11.460617065429688
