feature,gain
daily_txn_count_max,2047.2398681640625
daily_txn_count_mean,1449.459716796875
total_amount_sum,191.40191650390625
daily_amount_sum_max,82.0503158569336
monthly_amount_sum_cv,70.49398803710938
max_next_out_count_after_in_24h,53.137542724609375
out_counterparty_nunique,44.201847076416016
one_in_multi_out_count_24h,43.75807189941406
out_active_months,35.99472427368164
one_in_multi_out_in_amount_ratio_24h,32.1138801574707
out_round_1000_ratio,30.89496421813965
out_amount_mean,28.9759521484375
fast_in_out_in_amount_ratio_24h,25.856746673583984
in_out_count_ratio,24.408313751220703
region_code,23.343435287475586
in_counterparty_nunique,23.2038631439209
daily_amount_sum_mean,22.970197677612305
out_amount_max,22.305328369140625
in_active_months,22.205707550048828
in_amount_sum,21.705480575561523
total_txn_count,20.989709854125977
out_night_txn_ratio,18.928945541381836
in_amount_median,17.879926681518555
account_age_months,16.24428939819336
in_out_amount_ratio,15.741678237915039
out_round_1000_count,15.693596839904785
monthly_txn_count_std,14.947915077209473
out_txn_per_active_day,13.760765075683594
daily_txn_count_std,13.192157745361328
net_amount,12.925695419311523
burst_day_amount_ratio,12.745014190673828
out_active_days,12.394255638122559
in_amount_max,12.390203475952148
txn_count_growth,12.240741729736328
in_active_days,12.046586036682129
burst_day_txn_ratio,11.958816528320312
monthly_txn_count_cv,11.796575546264648
monthly_amount_sum_std,11.366668701171875
out_night_txn_count,11.151683807373047
fast_in_out_mean_delay_min_24h,10.84214973449707
in_txn_per_active_day,10.68550968170166
daily_amount_sum_cv,10.290533065795898
in_txn_count,9.45860481262207
last_month_txn_count,9.292703628540039
out_small_amount_count,9.186100006103516
daily_txn_count_cv,9.126948356628418
in_small_amount_count,9.068378448486328
out_amount_sum,8.032407760620117
in_amount_mean,7.980316162109375
daily_amount_sum_std,7.846166610717773
in_round_1000_count,7.340875625610352
in_amount_per_txn,7.291386604309082
in_round_1000_ratio,7.033144474029541
out_amount_median,6.893124103546143
in_small_amount_ratio,6.67641544342041
out_txn_count,6.627194404602051
out_small_amount_ratio,5.586421966552734
monthly_amount_sum_mean,5.452489852905273
fast_in_out_mean_delay_min_6h,3.8937931060791016
first_month_txn_count,3.52018141746521
fast_in_out_in_amount_ratio_6h,1.8838717937469482
max_prior_in_count_before_out_24h,0.3319530487060547
