feature,gain
customer_type_对公,764.0242919921875
customer_type_对私,587.0083618164062
daily_txn_count_mean,60.50166702270508
in_amount_median,44.40769958496094
burst_day_amount_ratio,26.57375144958496
daily_txn_count_max,25.326345443725586
total_amount_sum,19.29955291748047
daily_amount_sum_mean,12.24894905090332
account_age_months,10.948436737060547
burst_day_txn_ratio,9.918204307556152
in_amount_sum,9.90322208404541
region_code,8.018102645874023
daily_amount_sum_max,7.805581092834473
daily_txn_count_std,6.946511268615723
net_amount,6.297150611877441
out_night_txn_count,4.71490478515625
daily_amount_sum_std,4.347490310668945
in_txn_per_active_day,3.87738299369812
daily_txn_count_cv,2.611177444458008
monthly_amount_sum_cv,2.355241298675537
in_small_amount_ratio,2.3172607421875
in_out_amount_ratio,1.871124267578125
daily_amount_sum_cv,1.4851287603378296
out_round_1000_ratio,0.8325332999229431
in_txn_count,0.7645710110664368
out_active_months,0.4025290012359619
out_amount_median,0.24319376051425934
