feature,gain
customer_type_对私,117.87440490722656
customer_type_对公,104.04244995117188
daily_txn_count_mean,5.018708229064941
burst_day_txn_ratio,3.4788143634796143
out_night_txn_count,2.8529052734375
burst_day_amount_ratio,2.6696648597717285
out_round_1000_count,2.4599380493164062
account_age_months,2.079861879348755
total_amount_sum,2.0185256004333496
total_txn_count,1.3587628602981567
region_code,1.2087914943695068
daily_amount_sum_mean,1.157806634902954
daily_txn_count_max,1.1183072328567505
daily_amount_sum_max,0.9648036360740662
in_small_amount_count,0.7467193603515625
in_small_amount_ratio,0.7023882865905762
in_round_1000_ratio,0.6394968032836914
out_txn_count,0.6249669790267944
daily_txn_count_std,0.5255308747291565
daily_amount_sum_cv,0.46338951587677
in_amount_median,0.4607137441635132
in_txn_count,0.45226535201072693
in_amount_max,0.4498239755630493
in_amount_per_txn,0.4343862235546112
out_counterparty_nunique,0.4179229736328125
monthly_txn_count_cv,0.4110398292541504
txn_count_growth,0.3719978332519531
in_amount_sum,0.362015962600708
net_amount,0.3499876856803894
in_active_days,0.3377898335456848
last_month_txn_count,0.3141655921936035
daily_amount_sum_std,0.28799521923065186
in_active_months,0.28494492173194885
in_amount_mean,0.2689040005207062
monthly_amount_sum_cv,0.20734362304210663
out_amount_median,0.15947891771793365
out_round_1000_ratio,0.05819311365485191
out_active_months,0.051151931285858154
out_amount_sum,0.03941148519515991
in_out_amount_ratio,0.03268575668334961
