feature,gain
daily_txn_count_max,6245.013671875
daily_txn_count_mean,1849.13916015625
burst_day_txn_ratio,1435.7083740234375
total_amount_sum,287.84283447265625
daily_amount_sum_max,120.1529769897461
one_in_multi_out_count_24h,69.785888671875
one_in_multi_out_in_amount_ratio_24h,66.14639282226562
monthly_amount_sum_cv,64.86510467529297
monthly_txn_count_std,44.477813720703125
out_amount_max,40.4239501953125
out_amount_mean,39.58050537109375
out_counterparty_nunique,35.24567794799805
daily_amount_sum_mean,34.74277877807617
monthly_amount_sum_std,33.2891960144043
out_round_1000_count,32.92760467529297
total_txn_count,32.679039001464844
out_round_1000_ratio,31.65121078491211
in_counterparty_nunique,29.555892944335938
in_amount_max,28.381006240844727
in_txn_count,27.797304153442383
in_txn_per_active_day,26.570293426513672
out_active_days,26.295480728149414
daily_txn_count_std,26.252267837524414
monthly_txn_count_cv,25.767303466796875
in_out_count_ratio,24.535327911376953
in_amount_median,24.170419692993164
net_amount,22.84006118774414
out_txn_count,22.0908203125
daily_txn_count_cv,21.62289810180664
in_amount_mean,21.42306137084961
last_month_txn_count,20.718149185180664
in_amount_sum,20.645917892456055
daily_amount_sum_cv,20.432519912719727
out_night_txn_ratio,20.356185913085938
burst_day_amount_ratio,19.510360717773438
in_out_amount_ratio,19.227005004882812
in_active_days,19.04964256286621
monthly_amount_sum_mean,18.15868377685547
in_active_months,17.90743637084961
daily_amount_sum_std,17.332942962646484
txn_count_growth,17.054141998291016
out_amount_sum,15.967219352722168
out_small_amount_count,14.469058990478516
out_night_txn_count,13.655735969543457
out_txn_per_active_day,12.615554809570312
out_amount_median,11.824972152709961
in_small_amount_count,11.70202350616455
in_round_1000_ratio,11.467360496520996
in_round_1000_count,8.74799919128418
in_small_amount_ratio,6.2203688621521
out_small_amount_ratio,4.702610015869141
fast_in_out_mean_delay_min_6h,4.518517971038818
