feature,gain
daily_txn_count_mean,87.06792449951172
daily_txn_count_max,76.81708526611328
burst_day_txn_ratio,36.3573112487793
total_amount_sum,8.988828659057617
one_in_multi_out_count_24h,5.965260028839111
daily_amount_sum_max,5.750134468078613
one_in_multi_out_in_amount_ratio_24h,3.937220335006714
out_counterparty_nunique,3.0926706790924072
monthly_amount_sum_mean,2.9429378509521484
out_amount_per_txn,2.3853952884674072
monthly_amount_sum_cv,2.2521369457244873
out_amount_mean,2.2275357246398926
monthly_txn_count_std,2.1287081241607666
in_out_count_ratio,2.0349578857421875
in_counterparty_nunique,2.0060079097747803
out_round_1000_count,1.8994908332824707
daily_amount_sum_mean,1.8621325492858887
monthly_amount_sum_std,1.8507035970687866
out_round_1000_ratio,1.7892125844955444
out_amount_sum,1.7030435800552368
daily_txn_count_std,1.6217049360275269
net_amount,1.5286662578582764
in_txn_count,1.5007071495056152
out_active_days,1.4408726692199707
in_active_days,1.430617332458496
monthly_txn_count_cv,1.3943613767623901
daily_amount_sum_std,1.3807346820831299
out_amount_max,1.3586974143981934
burst_day_amount_ratio,1.3441067934036255
in_small_amount_count,1.274151086807251
in_out_amount_ratio,1.2495688199996948
in_active_months,1.2169134616851807
out_night_txn_ratio,1.1905467510223389
out_txn_per_active_day,1.1790523529052734
in_round_1000_ratio,1.1605899333953857
txn_count_growth,1.0956231355667114
total_txn_count,1.0782452821731567
daily_txn_count_cv,1.0389323234558105
out_amount_median,1.0036729574203491
in_txn_per_active_day,0.9959232211112976
in_round_1000_count,0.9911699295043945
daily_amount_sum_cv,0.8808572888374329
out_txn_count,0.842120349407196
in_amount_per_txn,0.8411813378334045
out_night_txn_count,0.8266682028770447
in_small_amount_ratio,0.8228549957275391
last_month_txn_count,0.8225746154785156
monthly_txn_count_mean,0.7200021147727966
in_amount_sum,0.7014297842979431
in_amount_median,0.6844099164009094
out_small_amount_count,0.6564324498176575
out_small_amount_ratio,0.6291000843048096
first_month_txn_count,0.5911662578582764
in_amount_max,0.5660490989685059
out_active_months,0.5283024907112122
max_next_out_count_after_in_24h,0.4670616388320923
in_amount_mean,0.44807103276252747
fast_in_out_mean_delay_min_6h,0.32691386342048645
max_prior_in_count_before_out_24h,0.21522250771522522
fast_in_out_in_amount_ratio_24h,0.2106589376926422
fast_in_out_in_amount_ratio_6h,0.14931373298168182
