feature,gain
total_txn_count,2668.057861328125
out_txn_count,1567.364501953125
total_amount_sum,482.40972900390625
in_txn_count,281.2437438964844
monthly_amount_sum_std,75.41180419921875
monthly_txn_count_std,59.14351272583008
region_code,57.926753997802734
out_counterparty_nunique,55.26716613769531
in_counterparty_nunique,54.77030563354492
account_age_months,49.73598098754883
net_amount,46.95670700073242
out_round_1000_count,45.28451919555664
out_amount_mean,44.29848861694336
in_amount_sum,43.41505432128906
out_active_days,43.019874572753906
in_amount_median,40.3095817565918
in_out_amount_ratio,38.120635986328125
out_amount_max,37.447513580322266
in_amount_max,37.3668098449707
in_txn_per_active_day,35.604400634765625
out_round_1000_ratio,32.66093826293945
out_amount_sum,29.32151222229004
in_amount_mean,28.9072208404541
in_out_count_ratio,28.43202018737793
out_night_txn_ratio,25.072891235351562
out_night_txn_count,24.641464233398438
last_month_txn_count,20.073261260986328
in_active_days,19.35655403137207
in_active_months,19.03466033935547
txn_count_growth,13.604194641113281
