feature,gain
total_txn_count,105.45272827148438
out_txn_count,18.132699966430664
total_amount_sum,17.053422927856445
in_txn_count,7.5835137367248535
out_counterparty_nunique,3.484800338745117
monthly_amount_sum_std,3.347316265106201
in_counterparty_nunique,2.437006950378418
region_code,2.431236743927002
out_round_1000_count,2.205329179763794
out_amount_mean,2.0321357250213623
account_age_months,1.908152461051941
monthly_txn_count_std,1.8966498374938965
in_out_amount_ratio,1.8790388107299805
out_round_1000_ratio,1.8530197143554688
out_amount_max,1.805847406387329
in_out_count_ratio,1.7879379987716675
out_amount_sum,1.7251760959625244
net_amount,1.6864161491394043
out_amount_per_txn,1.6404391527175903
out_active_days,1.4780035018920898
in_active_months,1.4578616619110107
in_active_days,1.3485634326934814
in_amount_mean,1.3008852005004883
out_night_txn_ratio,1.262017011642456
txn_count_growth,1.2607965469360352
out_amount_median,1.2603131532669067
in_amount_per_txn,1.2056609392166138
in_amount_sum,1.1930631399154663
out_txn_per_active_day,1.1852192878723145
in_round_1000_ratio,1.0847212076187134
in_amount_max,1.076781988143921
in_txn_per_active_day,1.039264440536499
in_amount_median,1.0380219221115112
in_round_1000_count,0.9891605973243713
out_night_txn_count,0.90949946641922
first_month_txn_count,0.7245181798934937
last_month_txn_count,0.6565874218940735
