feature,gain
customer_type_对公,817.3328857421875
customer_type_对私,128.06211853027344
total_txn_count,72.0577392578125
total_amount_sum,39.26688766479492
in_amount_median,21.31535530090332
in_active_days,20.832225799560547
in_txn_count,18.349267959594727
out_amount_max,17.43366241455078
in_amount_mean,16.192710876464844
net_amount,16.13639259338379
out_txn_count,13.186115264892578
account_age_months,11.310256004333496
out_counterparty_nunique,8.408670425415039
region_code,7.806674003601074
in_amount_sum,7.7819437980651855
in_out_amount_ratio,5.607421875
monthly_amount_sum_std,5.116858005523682
in_active_months,5.085126876831055
in_txn_per_active_day,3.8788838386535645
out_night_txn_ratio,3.8387451171875
out_night_txn_count,2.677490234375
out_round_1000_ratio,2.4093124866485596
monthly_txn_count_std,2.249950408935547
in_round_1000_ratio,1.7464599609375
in_amount_max,1.6179929971694946
out_amount_sum,1.51171875
out_amount_median,0.15126104652881622
