feature,gain
customer_type_对公,109.84313201904297
customer_type_对私,40.67361068725586
first_month_txn_count,8.872346878051758
total_txn_count,7.761656761169434
total_amount_sum,4.547913551330566
in_amount_sum,2.7336971759796143
account_age_months,2.0365333557128906
in_txn_count,1.5769437551498413
region_code,1.2158056497573853
out_amount_mean,0.908514678478241
out_txn_count,0.9072583317756653
in_amount_median,0.7184690237045288
in_amount_max,0.6417827010154724
out_night_txn_ratio,0.6096751093864441
in_txn_per_active_day,0.48806148767471313
in_round_1000_ratio,0.41081681847572327
net_amount,0.3504267930984497
in_active_days,0.3389452397823334
in_active_months,0.3382253050804138
out_amount_max,0.3258684277534485
out_round_1000_ratio,0.2878567576408386
in_round_1000_count,0.2857227325439453
in_amount_mean,0.2613751292228699
out_amount_median,0.2582467496395111
out_counterparty_nunique,0.24811036884784698
monthly_txn_count_std,0.23934173583984375
monthly_amount_sum_std,0.22261717915534973
out_night_txn_count,0.22051239013671875
in_amount_per_txn,0.21228079497814178
out_amount_sum,0.11880940198898315
in_out_count_ratio,0.0063009113073349
