feature,gain
total_txn_count,1666.032958984375
total_amount_sum,279.36181640625
out_counterparty_nunique,175.522705078125
in_amount_sum,119.26728820800781
monthly_amount_sum_std,52.04915237426758
monthly_txn_count_std,42.3997688293457
first_month_txn_count,34.78137969970703
out_round_1000_count,32.618072509765625
out_round_1000_ratio,30.591787338256836
out_active_months,30.283658981323242
out_amount_max,29.004680633544922
out_amount_mean,28.86155128479004
out_amount_median,28.158716201782227
in_amount_median,28.130903244018555
in_active_months,26.81281089782715
net_amount,25.88164520263672
in_counterparty_nunique,25.69892120361328
in_out_count_ratio,25.196359634399414
out_active_days,24.12938690185547
out_night_txn_ratio,20.785451889038086
in_amount_max,20.41373634338379
out_amount_sum,18.296062469482422
in_txn_count,17.48306655883789
in_txn_per_active_day,17.370792388916016
in_out_amount_ratio,16.942476272583008
last_month_txn_count,16.887828826904297
txn_count_growth,15.728717803955078
out_txn_per_active_day,15.496088981628418
out_txn_count,14.764705657958984
in_active_days,14.597967147827148
in_round_1000_ratio,13.338768005371094
in_amount_mean,12.770002365112305
out_night_txn_count,11.868213653564453
in_round_1000_count,9.285795211791992
out_amount_per_txn,3.220977783203125
