feature,gain
total_txn_count,55.41307067871094
total_amount_sum,10.900901794433594
out_counterparty_nunique,8.464960098266602
monthly_amount_sum_std,3.9431848526000977
out_txn_count,3.309971332550049
in_amount_sum,2.9240496158599854
in_counterparty_nunique,2.0474507808685303
out_active_days,2.033249855041504
monthly_txn_count_std,1.874267339706421
out_round_1000_count,1.8547115325927734
in_out_count_ratio,1.6197459697723389
out_round_1000_ratio,1.5658135414123535
in_txn_count,1.4478689432144165
out_amount_mean,1.446713924407959
out_amount_per_txn,1.4178674221038818
out_amount_sum,1.2838116884231567
in_active_months,1.2749648094177246
out_amount_max,1.25832998752594
net_amount,1.1056545972824097
out_night_txn_ratio,1.0458890199661255
out_amount_median,1.0391836166381836
in_active_days,0.9909510612487793
txn_count_growth,0.9348633885383606
in_out_amount_ratio,0.8974797129631042
in_round_1000_count,0.8071994185447693
in_round_1000_ratio,0.7776153087615967
in_txn_per_active_day,0.7687581777572632
out_night_txn_count,0.7649978995323181
in_amount_max,0.7226927280426025
last_month_txn_count,0.6910355687141418
out_txn_per_active_day,0.6572678685188293
out_active_months,0.6046144366264343
in_amount_median,0.6001420021057129
in_amount_mean,0.598395586013794
first_month_txn_count,0.548926055431366
in_amount_per_txn,0.42623668909072876
