feature,gain
burst_day_txn_ratio,1704.5203857421875
daily_txn_count_mean,1079.984375
daily_txn_count_max,1075.5594482421875
counterparty_amount_max,498.0240173339844
total_amount_sum,400.7848815917969
daily_amount_sum_mean,243.60682678222656
txn_interarrival_min_mean,164.4812469482422
out_counterparty_nunique,111.5460205078125
out_txn_count,86.41976165771484
in_amount_median,82.05297088623047
region_code,63.124603271484375
total_txn_count,61.312496185302734
account_age_months,60.277992248535156
counterparty_amount_mean,51.084877014160156
in_amount_mean,37.10649871826172
net_amount,28.73795509338379
in_amount_sum,8.733802795410156
