feature,gain
daily_txn_count_max,3156.6044921875
daily_txn_count_mean,2070.339599609375
counterparty_amount_max,263.8586120605469
burst_day_txn_ratio,217.61300659179688
total_amount_sum,198.584228515625
activity_hour_txn_max_ratio,130.34487915039062
daily_amount_sum_max,77.04471588134766
monthly_amount_sum_cv,57.76274871826172
one_in_multi_out_in_amount_ratio_24h,45.959835052490234
in_out_amount_ratio,45.33059310913086
counterparty_count,39.562904357910156
in_out_count_ratio,36.81049728393555
monthly_amount_sum_mean,36.76182556152344
out_round_1000_ratio,30.924062728881836
counterparty_txn_top_ratio,30.183528900146484
counterparty_txn_mean,28.95075035095215
daily_amount_sum_mean,25.502466201782227
out_counterparty_nunique,24.418466567993164
out_night_txn_ratio,23.18585777282715
region_code,23.05423355102539
daily_amount_sum_std,21.686304092407227
in_amount_median,20.221715927124023
out_amount_sum,17.8795108795166
counterparty_amount_mean,17.64018440246582
out_amount_max,16.16890525817871
in_txn_count,16.03596305847168
in_active_days,15.613471031188965
account_age_months,15.480001449584961
daily_txn_count_std,15.095773696899414
burst_day_amount_ratio,14.417926788330078
activity_hour_entropy,14.230134010314941
in_amount_sum,14.13322639465332
out_night_txn_count,13.889927864074707
activity_hour_nunique,13.35552978515625
last_month_txn_count,13.175206184387207
monthly_amount_sum_std,13.006980895996094
out_amount_mean,12.255481719970703
in_txn_per_active_day,12.244063377380371
prior_in_before_out_mean_delay_min_24h,11.711210250854492
out_txn_per_active_day,11.521517753601074
in_amount_max,11.088061332702637
out_active_months,10.745185852050781
txn_interarrival_min_mean,10.59885311126709
daily_amount_sum_cv,10.47331714630127
txn_count_growth,10.290122985839844
net_amount,10.194038391113281
in_round_1000_count,9.742557525634766
in_active_months,9.605284690856934
in_small_amount_ratio,9.446099281311035
out_small_amount_count,9.177572250366211
in_amount_mean,8.8438138961792
out_small_amount_ratio,8.513059616088867
out_active_days,8.098073959350586
in_small_amount_count,7.962080001831055
counterparty_amount_top_ratio,7.838627338409424
txn_interarrival_min_std,7.825967788696289
out_round_1000_count,7.386746883392334
monthly_txn_count_cv,7.176856517791748
txn_interarrival_min_cv,7.035640716552734
out_amount_median,5.348361015319824
fast_in_out_out_amount_ratio_1h,5.176151275634766
in_round_1000_ratio,4.9178314208984375
monthly_txn_count_std,4.395579814910889
first_month_txn_count,4.379964828491211
counterparty_txn_max,4.201565742492676
out_txn_count,3.9049694538116455
fast_in_out_mean_delay_min_24h,3.135622501373291
prior_in_before_out_out_amount_ratio_24h,1.5890064239501953
daily_txn_count_cv,1.4300837516784668
fast_in_out_mean_delay_min_6h,0.5083751678466797
