feature,gain
daily_txn_count_max,178.30789184570312
daily_txn_count_mean,171.43972778320312
burst_day_txn_ratio,26.081628799438477
activity_hour_txn_max_ratio,15.79897689819336
counterparty_amount_max,11.908227920532227
one_in_multi_out_count_24h,7.657251358032227
counterparty_amount_mean,6.707502841949463
daily_amount_sum_max,5.82392692565918
one_in_multi_out_in_amount_ratio_24h,5.51408576965332
max_prior_in_count_before_out_24h,5.151206970214844
counterparty_count,4.184576511383057
total_amount_sum,4.041114807128906
out_amount_per_txn,3.738717555999756
out_amount_mean,2.9721906185150146
in_out_count_ratio,2.913393497467041
in_out_amount_ratio,2.852257251739502
daily_amount_sum_mean,2.804208755493164
region_code,2.4207441806793213
prior_in_before_out_mean_delay_min_24h,2.3873608112335205
monthly_amount_sum_cv,2.3843374252319336
counterparty_txn_mean,2.253053665161133
counterparty_txn_max,2.1539788246154785
account_age_months,1.9697691202163696
out_amount_max,1.9231069087982178
out_round_1000_ratio,1.7727577686309814
in_active_months,1.6039398908615112
daily_amount_sum_std,1.514575481414795
counterparty_txn_top_ratio,1.4510424137115479
out_round_1000_count,1.4469609260559082
activity_hour_nunique,1.4157079458236694
out_active_days,1.3664393424987793
net_amount,1.3547958135604858
in_amount_max,1.3317310810089111
out_amount_sum,1.3060294389724731
out_night_txn_ratio,1.2516016960144043
last_month_txn_count,1.2101552486419678
in_txn_count,1.1953104734420776
out_txn_per_active_day,1.1910074949264526
in_small_amount_count,1.1787112951278687
burst_day_amount_ratio,1.163178563117981
activity_hour_entropy,1.15957510471344
in_amount_sum,1.1579135656356812
out_amount_median,1.1568523645401
daily_amount_sum_cv,1.1435526609420776
monthly_amount_sum_std,1.1067441701889038
in_txn_per_active_day,1.0617008209228516
daily_txn_count_cv,1.032382845878601
txn_interarrival_min_mean,1.012955665588379
txn_interarrival_min_cv,0.9999833703041077
txn_count_growth,0.9836111068725586
monthly_txn_count_cv,0.9810581207275391
monthly_txn_count_mean,0.9765687584877014
monthly_txn_count_std,0.9656133651733398
out_night_txn_count,0.9469612836837769
total_txn_count,0.9341210722923279
daily_txn_count_std,0.9114029407501221
txn_interarrival_min_std,0.8944591879844666
in_amount_mean,0.8579175472259521
in_active_days,0.8328993320465088
out_counterparty_nunique,0.7955780029296875
in_counterparty_nunique,0.7946378588676453
in_amount_median,0.7301033735275269
in_small_amount_ratio,0.7080808281898499
counterparty_amount_top_ratio,0.6699727177619934
prior_in_before_out_out_amount_ratio_24h,0.5997304916381836
in_round_1000_ratio,0.594521164894104
in_amount_per_txn,0.5817493200302124
fast_in_out_mean_delay_min_24h,0.5264002680778503
out_txn_count,0.5249332189559937
fast_in_out_out_amount_ratio_1h,0.5077309608459473
in_round_1000_count,0.48113441467285156
fast_in_out_in_amount_ratio_6h,0.4606233835220337
out_small_amount_ratio,0.3992769420146942
prior_in_before_out_mean_delay_min_6h,0.3299751281738281
first_month_txn_count,0.2029823660850525
