feature,gain
activity_hour_nunique,3454.268310546875
daily_txn_count_mean,2719.9970703125
activity_hour_txn_max_ratio,565.7015991210938
counterparty_amount_max,435.5982360839844
burst_day_txn_ratio,396.50653076171875
counterparty_amount_mean,210.7506866455078
daily_amount_sum_max,158.14715576171875
total_amount_sum,68.43220520019531
one_in_multi_out_in_amount_ratio_24h,65.59645080566406
monthly_amount_sum_cv,63.29480743408203
in_out_amount_ratio,58.63978576660156
out_counterparty_nunique,56.64740753173828
in_out_count_ratio,54.88766860961914
counterparty_count,50.20081329345703
out_amount_max,41.2481689453125
counterparty_amount_top_ratio,40.171226501464844
daily_amount_sum_mean,38.33303451538086
counterparty_txn_mean,37.874088287353516
out_round_1000_ratio,33.651065826416016
in_amount_max,33.14883804321289
in_active_months,31.330886840820312
in_active_days,30.6912899017334
net_amount,28.41862678527832
monthly_txn_count_cv,28.415184020996094
out_night_txn_count,28.402999877929688
out_amount_sum,26.82050132751465
daily_txn_count_std,25.305126190185547
in_amount_median,24.844017028808594
activity_hour_entropy,24.664379119873047
out_amount_median,24.19721031188965
out_night_txn_ratio,23.622732162475586
txn_interarrival_min_mean,22.380273818969727
counterparty_txn_top_ratio,22.104820251464844
daily_amount_sum_cv,22.084732055664062
out_round_1000_count,21.78728675842285
monthly_amount_sum_std,21.19487953186035
burst_day_amount_ratio,20.578956604003906
txn_interarrival_min_cv,20.52871322631836
out_txn_per_active_day,20.378257751464844
daily_amount_sum_std,18.920825958251953
in_amount_sum,16.282825469970703
in_small_amount_ratio,14.984342575073242
txn_count_growth,13.779150009155273
daily_txn_count_max,12.6671142578125
in_amount_mean,8.326045989990234
out_txn_count,6.5073394775390625
txn_interarrival_min_std,4.374459266662598
