feature,gain
graph_neighbor_degree_max,3559.429931640625
daily_txn_count_mean,2561.222900390625
node2vec_03,1766.9713134765625
graph_two_hop_neighbor_count,1764.7650146484375
account_age_months,371.3315124511719
node2vec_05,313.3121032714844
node2vec_07,308.58502197265625
total_amount_sum,306.5213928222656
node2vec_01,295.5528869628906
node2vec_00,282.23004150390625
region_code,271.7182922363281
node2vec_02,221.6554718017578
node2vec_04,220.99391174316406
graph_neighbor_degree_mean,69.8472900390625
