feature,gain
daily_txn_count_max,4130.6318359375
graph_component_size,3419.759521484375
graph_component_edge_count,3135.97119140625
daily_txn_count_mean,1976.075927734375
graph_two_hop_neighbor_count,510.5697021484375
total_amount_sum,302.3686218261719
daily_amount_sum_max,158.04995727539062
graph_neighbor_degree_max,96.10844421386719
graph_reciprocal_ratio,50.60961151123047
daily_amount_sum_mean,50.30729293823242
graph_neighbor_degree_std,48.625064849853516
region_code,48.10688781738281
total_txn_count,42.9362907409668
account_age_months,38.55580520629883
node2vec_02,37.844173431396484
monthly_amount_sum_cv,36.83941650390625
in_active_months,36.64396667480469
burst_day_amount_ratio,36.28609085083008
out_amount_median,36.00199890136719
out_round_1000_count,34.74673080444336
graph_out_degree,33.9362907409668
pagerank,28.95052719116211
graph_neighbor_degree_mean,26.85054588317871
in_small_amount_count,25.852863311767578
out_amount_mean,25.641342163085938
in_txn_per_active_day,25.3009090423584
out_round_1000_ratio,24.929107666015625
in_amount_median,24.426559448242188
net_amount,24.324018478393555
node2vec_04,23.948942184448242
daily_amount_sum_cv,23.724510192871094
node2vec_05,23.22597885131836
node2vec_00,23.09627342224121
out_night_txn_ratio,23.045774459838867
node2vec_06,22.634069442749023
in_round_1000_ratio,22.60867691040039
in_active_days,21.750885009765625
out_amount_sum,21.710773468017578
graph_total_degree,21.657447814941406
node2vec_03,21.60739517211914
node2vec_07,21.409128189086914
in_small_amount_ratio,21.402238845825195
first_month_txn_count,20.79845428466797
out_amount_max,19.798480987548828
monthly_amount_sum_std,19.22504425048828
node2vec_01,19.178863525390625
one_in_multi_out_count_24h,19.118358612060547
in_txn_count,19.02521514892578
daily_txn_count_cv,16.682449340820312
out_night_txn_count,15.817815780639648
burst_day_txn_ratio,14.873947143554688
in_amount_mean,14.6611909866333
out_txn_count,14.229454040527344
in_out_amount_ratio,14.204977035522461
graph_hub_neighbor_ratio,13.83055591583252
txn_count_growth,12.417628288269043
fast_in_out_mean_delay_min_24h,11.87775993347168
daily_txn_count_std,11.41897964477539
out_active_days,10.198564529418945
in_out_count_ratio,7.1209845542907715
fast_in_out_mean_delay_min_6h,5.386615753173828
