feature,gain
daily_txn_count_max,372.8793029785156
daily_txn_count_mean,256.102294921875
graph_component_edge_count,177.90675354003906
graph_component_size,154.5834503173828
graph_two_hop_neighbor_count,26.389564514160156
graph_neighbor_degree_max,22.86298370361328
total_amount_sum,6.148449897766113
daily_amount_sum_max,4.674635410308838
graph_neighbor_degree_std,4.378838062286377
region_code,4.235509395599365
out_amount_mean,3.6284244060516357
account_age_months,3.608184337615967
out_amount_per_txn,3.487962007522583
daily_amount_sum_mean,3.2764663696289062
graph_reciprocal_ratio,3.198068141937256
graph_neighbor_degree_mean,3.174064874649048
one_in_multi_out_in_amount_ratio_24h,3.013352632522583
monthly_amount_sum_mean,2.9991629123687744
in_active_months,2.9756250381469727
out_counterparty_nunique,2.7091593742370605
burst_day_amount_ratio,2.677500009536743
node2vec_03,2.675058126449585
out_amount_max,2.5808587074279785
out_round_1000_count,2.4535157680511475
monthly_amount_sum_std,2.449734926223755
out_amount_median,2.407905101776123
total_txn_count,2.395893096923828
monthly_amount_sum_cv,2.323547124862671
out_amount_sum,2.2151026725769043
pagerank,2.188354253768921
node2vec_05,2.1338889598846436
node2vec_02,2.086822032928467
in_active_days,2.0574402809143066
node2vec_06,2.0548417568206787
out_round_1000_ratio,2.0219886302948
node2vec_01,1.9695221185684204
node2vec_04,1.9618523120880127
node2vec_00,1.9581658840179443
node2vec_07,1.7927719354629517
in_small_amount_count,1.7691688537597656
monthly_txn_count_std,1.7659674882888794
in_amount_max,1.6861826181411743
daily_txn_count_std,1.617268443107605
in_txn_per_active_day,1.537771463394165
last_month_txn_count,1.5371739864349365
out_txn_count,1.5314067602157593
burst_day_txn_ratio,1.527269959449768
net_amount,1.5187979936599731
txn_count_growth,1.4110597372055054
monthly_txn_count_cv,1.4062446355819702
in_small_amount_ratio,1.3150558471679688
out_night_txn_count,1.2564421892166138
in_txn_count,1.2446770668029785
in_round_1000_ratio,1.2219661474227905
fast_in_out_mean_delay_min_24h,1.2035014629364014
out_night_txn_ratio,1.1918505430221558
in_amount_sum,1.1260586977005005
in_amount_median,1.0508004426956177
in_amount_per_txn,1.0269074440002441
in_out_amount_ratio,1.0253762006759644
in_round_1000_count,0.9902863502502441
fast_in_out_in_amount_ratio_6h,0.8977117538452148
in_amount_mean,0.8656740784645081
in_out_count_ratio,0.8030136227607727
out_active_days,0.7800452709197998
graph_in_out_degree_ratio,0.7716636657714844
graph_out_in_degree_ratio,0.7538528442382812
out_txn_per_active_day,0.7232486009597778
daily_amount_sum_cv,0.5626433491706848
out_small_amount_ratio,0.4692380428314209
daily_txn_count_cv,0.39961332082748413
fast_in_out_mean_delay_min_6h,0.3203108608722687
fast_in_out_count_6h,0.2347201108932495
