feature,gain
customer_type_对私,3065.0654296875
customer_type_对公,2586.775390625
graph_neighbor_degree_max,961.0807495117188
node2vec_06,544.18701171875
graph_two_hop_neighbor_count,504.53668212890625
node2vec_03,457.14508056640625
node2vec_05,325.8033447265625
daily_txn_count_mean,316.0218505859375
node2vec_00,290.90435791015625
node2vec_07,279.08355712890625
node2vec_02,277.16766357421875
daily_txn_count_max,225.80126953125
region_code,174.6656494140625
account_age_months,144.9180450439453
node2vec_04,141.00131225585938
node2vec_01,8.948989868164062
burst_day_txn_ratio,1.54534912109375
in_txn_count,0.9664306640625
