feature,gain
customer_type_对公,1879.34521484375
customer_type_对私,1726.597900390625
daily_txn_count_max,280.6581726074219
graph_component_size,60.4610595703125
daily_txn_count_mean,39.61669158935547
total_amount_sum,37.35587692260742
node2vec_05,31.76223373413086
account_age_months,31.643234252929688
daily_amount_sum_mean,29.506494522094727
node2vec_01,28.20796775817871
region_code,23.71051788330078
node2vec_03,21.484451293945312
in_amount_sum,21.2023868560791
node2vec_06,20.024507522583008
in_txn_per_active_day,17.094207763671875
node2vec_02,17.08833122253418
daily_amount_sum_max,17.013639450073242
node2vec_00,16.350872039794922
in_txn_count,15.745647430419922
node2vec_07,14.595988273620605
net_amount,14.281595230102539
burst_day_amount_ratio,13.869047164916992
node2vec_04,12.144515991210938
in_small_amount_ratio,5.128570556640625
graph_reciprocal_ratio,4.1051154136657715
daily_amount_sum_cv,1.9932479858398438
monthly_txn_count_std,1.8674697875976562
monthly_amount_sum_cv,1.6056327819824219
graph_neighbor_degree_std,1.35009765625
out_active_months,0.8654975295066833
graph_neighbor_degree_max,0.06893539428710938
