feature,gain
customer_type_对私,146.01553344726562
customer_type_对公,144.8763427734375
graph_component_size,18.359729766845703
daily_txn_count_mean,17.730051040649414
burst_day_txn_ratio,9.346986770629883
graph_two_hop_neighbor_count,6.482541561126709
out_active_months,6.080901622772217
account_age_months,5.9807610511779785
graph_neighbor_degree_max,4.555141448974609
region_code,3.185415506362915
daily_amount_sum_mean,2.850701093673706
burst_day_amount_ratio,2.821585178375244
total_amount_sum,2.75217866897583
node2vec_05,2.5034310817718506
node2vec_01,2.030038595199585
daily_txn_count_max,1.8621740341186523
node2vec_02,1.608830213546753
node2vec_03,1.5441393852233887
node2vec_00,1.4014886617660522
node2vec_07,1.3635079860687256
daily_txn_count_std,1.3201532363891602
node2vec_06,1.3128368854522705
in_txn_per_active_day,1.2729778289794922
node2vec_04,1.2123830318450928
in_active_months,1.0401033163070679
in_amount_median,0.7949779033660889
daily_amount_sum_max,0.5601047873497009
daily_txn_count_cv,0.5213727355003357
in_amount_sum,0.49505335092544556
graph_neighbor_degree_std,0.4721221923828125
in_txn_count,0.46990031003952026
daily_amount_sum_cv,0.46872806549072266
graph_neighbor_degree_mean,0.2924049496650696
graph_reciprocal_ratio,0.2743803858757019
out_round_1000_ratio,0.2501224875450134
pagerank,0.2243938446044922
in_amount_mean,0.14882582426071167
out_amount_median,0.1384698450565338
out_night_txn_ratio,0.021877765655517578
