feature,gain
daily_txn_count_mean,3056.27685546875
graph_two_hop_neighbor_count,2027.3697509765625
node2vec_03,1716.0911865234375
graph_neighbor_degree_max,889.908203125
total_amount_sum,489.70556640625
node2vec_01,330.6951904296875
node2vec_05,258.0423583984375
node2vec_07,238.20025634765625
node2vec_00,211.6881103515625
node2vec_04,208.07705688476562
node2vec_06,205.30789184570312
node2vec_02,195.54808044433594
daily_amount_sum_mean,17.582656860351562
daily_txn_count_max,10.151115417480469
graph_neighbor_degree_mean,9.135696411132812
out_txn_count,0.26312255859375
