feature,gain
daily_txn_count_mean,5330.09521484375
graph_component_edge_count,3199.113037109375
graph_component_size,3110.76953125
graph_two_hop_neighbor_count,697.0302124023438
graph_neighbor_degree_max,324.5863342285156
total_amount_sum,255.8111114501953
daily_amount_sum_max,150.8741455078125
graph_reciprocal_ratio,58.561927795410156
out_amount_per_txn,50.075927734375
burst_day_amount_ratio,45.32072067260742
total_txn_count,42.07756042480469
out_amount_median,35.14750671386719
graph_component_density,32.814453125
graph_reciprocal_neighbor_count,31.681167602539062
in_active_days,29.196596145629883
monthly_amount_sum_cv,28.263168334960938
graph_neighbor_degree_mean,28.027324676513672
daily_amount_sum_mean,27.91546630859375
node2vec_02,24.941593170166016
out_round_1000_count,24.791719436645508
node2vec_05,24.138870239257812
node2vec_07,23.921558380126953
monthly_amount_sum_std,22.808605194091797
graph_neighbor_degree_std,22.402183532714844
in_small_amount_ratio,22.084741592407227
pagerank,21.893905639648438
out_night_txn_ratio,21.858991622924805
node2vec_01,21.55205726623535
out_night_txn_count,19.97890281677246
node2vec_00,19.92592430114746
node2vec_06,19.160306930541992
in_txn_count,18.90654182434082
node2vec_04,18.54500961303711
monthly_txn_count_cv,17.434532165527344
out_txn_per_active_day,16.1098575592041
out_txn_count,15.390722274780273
in_out_count_ratio,15.01239013671875
in_amount_sum,13.769981384277344
node2vec_03,13.616870880126953
max_next_out_count_after_in_24h,8.280494689941406
