feature,gain
daily_txn_count_max,375.7843322753906
daily_txn_count_mean,319.47393798828125
graph_component_edge_count,280.8793640136719
graph_component_size,128.58688354492188
graph_two_hop_neighbor_count,29.496749877929688
graph_neighbor_degree_max,10.497328758239746
graph_neighbor_degree_std,4.798150539398193
daily_amount_sum_max,4.600623607635498
out_amount_per_txn,4.505255699157715
in_amount_mean,4.364518165588379
total_amount_sum,3.7978007793426514
total_txn_count,3.6485660076141357
daily_amount_sum_mean,3.4066388607025146
out_txn_count,3.2783102989196777
graph_reciprocal_ratio,2.966153621673584
one_in_multi_out_in_amount_ratio_24h,2.942535400390625
burst_day_amount_ratio,2.9095778465270996
out_amount_mean,2.8607563972473145
node2vec_03,2.8458797931671143
node2vec_02,2.66219425201416
monthly_txn_count_std,2.6222686767578125
in_amount_per_txn,2.6201577186584473
out_amount_max,2.608383893966675
in_active_months,2.567552089691162
monthly_amount_sum_cv,2.539384603500366
pagerank,2.53495717048645
node2vec_04,2.473381280899048
node2vec_01,2.4557199478149414
out_txn_per_active_day,2.3742926120758057
node2vec_05,2.3703341484069824
out_amount_sum,2.331822633743286
in_small_amount_count,2.312389373779297
out_amount_median,2.2907423973083496
graph_neighbor_degree_mean,2.285874843597412
node2vec_06,2.2781569957733154
node2vec_07,2.247532367706299
node2vec_00,2.229978322982788
daily_amount_sum_std,2.166195869445801
in_active_days,2.156242847442627
monthly_amount_sum_std,2.058161497116089
out_round_1000_ratio,1.9922231435775757
in_amount_median,1.9717391729354858
out_round_1000_count,1.9143619537353516
first_month_txn_count,1.8238635063171387
burst_day_txn_ratio,1.7435179948806763
out_active_months,1.7301647663116455
in_txn_count,1.7041834592819214
net_amount,1.686334252357483
in_out_amount_ratio,1.6726707220077515
monthly_txn_count_cv,1.6608381271362305
in_amount_sum,1.6472896337509155
in_amount_max,1.5223417282104492
graph_total_degree,1.5135990381240845
one_in_multi_out_count_24h,1.2804789543151855
in_small_amount_ratio,1.2597194910049438
out_night_txn_ratio,1.239636778831482
txn_count_growth,1.1946096420288086
out_night_txn_count,1.184719204902649
in_txn_per_active_day,1.1105411052703857
in_out_count_ratio,1.0983119010925293
fast_in_out_in_amount_ratio_6h,1.0615301132202148
in_round_1000_ratio,0.9962261319160461
daily_txn_count_std,0.925602912902832
daily_txn_count_cv,0.7231453657150269
daily_amount_sum_cv,0.6921427249908447
fast_in_out_mean_delay_min_24h,0.6387618184089661
in_round_1000_count,0.5755891799926758
last_month_txn_count,0.5060854554176331
fast_in_out_mean_delay_min_6h,0.26723217964172363
