feature,gain
graph_two_hop_neighbor_count,2130.31396484375
node2vec_03,1941.0687255859375
total_txn_count,1854.418212890625
graph_total_degree,547.6145629882812
account_age_months,359.557861328125
node2vec_05,352.2118225097656
node2vec_01,324.52801513671875
region_code,285.64453125
total_amount_sum,264.2393798828125
node2vec_00,260.3518371582031
node2vec_04,220.354736328125
node2vec_02,217.1319122314453
node2vec_07,214.5322723388672
node2vec_06,175.7758026123047
graph_component_size,3.5794677734375
