feature,gain
graph_component_size,3002.995849609375
total_txn_count,2661.427001953125
graph_two_hop_neighbor_count,305.7834167480469
total_amount_sum,189.78541564941406
graph_cycle3_proxy_count,72.03202819824219
out_counterparty_nunique,57.69162368774414
region_code,44.083282470703125
graph_reciprocal_neighbor_count,41.939414978027344
node2vec_02,38.00425720214844
graph_total_degree,36.72553634643555
monthly_amount_sum_std,35.72782897949219
account_age_months,33.178138732910156
in_amount_max,32.35905075073242
out_round_1000_ratio,30.308568954467773
in_active_months,30.01022720336914
out_amount_max,29.895008087158203
out_round_1000_count,28.690811157226562
out_txn_count,28.679141998291016
out_amount_mean,26.793312072753906
first_month_txn_count,26.14150047302246
out_amount_sum,26.089038848876953
out_night_txn_ratio,25.77137565612793
graph_out_degree,25.520429611206055
net_amount,24.35042953491211
node2vec_05,24.154678344726562
in_amount_median,23.296810150146484
pagerank,23.285554885864258
in_amount_mean,22.173049926757812
in_txn_per_active_day,20.44862937927246
node2vec_06,20.412109375
monthly_txn_count_std,20.10478401184082
node2vec_03,19.97369956970215
node2vec_04,19.68442726135254
out_night_txn_count,19.54069709777832
node2vec_00,19.134531021118164
node2vec_07,19.087162017822266
in_out_count_ratio,18.602949142456055
node2vec_01,18.236053466796875
txn_count_growth,18.05714225769043
in_active_days,16.565401077270508
out_active_months,15.881794929504395
out_amount_median,14.704574584960938
last_month_txn_count,13.897947311401367
in_amount_per_txn,12.926456451416016
in_txn_count,11.001484870910645
out_active_days,8.4740629196167
in_round_1000_count,8.453282356262207
in_round_1000_ratio,8.345390319824219
out_txn_per_active_day,6.98113489151001
in_out_amount_ratio,4.0777907371521
