feature,gain
total_txn_count,276.7417297363281
graph_component_size,174.39962768554688
graph_total_degree,46.772193908691406
graph_two_hop_neighbor_count,17.84742546081543
total_amount_sum,6.412159442901611
graph_reciprocal_neighbor_count,4.168064117431641
region_code,4.144660472869873
out_amount_per_txn,3.7509078979492188
account_age_months,3.6514947414398193
out_amount_max,3.483236312866211
out_amount_sum,3.059504985809326
out_counterparty_nunique,3.009469985961914
node2vec_03,2.8375484943389893
in_amount_max,2.71657133102417
out_active_months,2.651320457458496
out_round_1000_count,2.471482276916504
in_counterparty_nunique,2.4156105518341064
in_amount_mean,2.229055404663086
graph_cycle3_proxy_count,2.2167601585388184
node2vec_02,2.1802985668182373
out_round_1000_ratio,2.174133539199829
node2vec_05,2.1002323627471924
monthly_amount_sum_std,2.0854649543762207
node2vec_04,2.0668365955352783
pagerank,2.037322521209717
node2vec_06,2.0100998878479004
node2vec_00,1.976928472518921
in_active_months,1.9631257057189941
in_active_days,1.957104206085205
out_active_days,1.9393421411514282
node2vec_01,1.9214290380477905
out_txn_count,1.8878567218780518
in_amount_median,1.853482723236084
net_amount,1.8361554145812988
node2vec_07,1.83392333984375
in_txn_count,1.8255820274353027
out_amount_median,1.7545617818832397
in_out_amount_ratio,1.729215145111084
in_txn_per_active_day,1.659863829612732
txn_count_growth,1.6287047863006592
first_month_txn_count,1.531286358833313
out_txn_per_active_day,1.4797894954681396
last_month_txn_count,1.4136985540390015
out_night_txn_ratio,1.2472859621047974
in_amount_per_txn,1.233785629272461
monthly_txn_count_std,1.140742301940918
in_out_count_ratio,1.048449158668518
in_round_1000_ratio,0.9866214990615845
out_night_txn_count,0.953116774559021
in_amount_sum,0.885240912437439
in_round_1000_count,0.7088281512260437
