feature,gain
customer_type_对私,3225.212158203125
customer_type_对公,2514.51708984375
graph_total_degree,546.8760986328125
node2vec_06,520.6934204101562
graph_two_hop_neighbor_count,519.3672485351562
node2vec_03,428.8856201171875
node2vec_00,421.9615783691406
total_txn_count,304.3150329589844
node2vec_07,276.0880126953125
node2vec_05,226.2032012939453
node2vec_02,213.96554565429688
region_code,195.15357971191406
node2vec_01,189.19444274902344
account_age_months,158.42514038085938
total_amount_sum,142.38856506347656
