feature,gain
customer_type_对私,3968.879150390625
customer_type_对公,3169.94189453125
total_txn_count,174.7504425048828
node2vec_05,44.65208053588867
account_age_months,36.577064514160156
node2vec_01,32.29475021362305
graph_two_hop_neighbor_count,24.537521362304688
region_code,23.938108444213867
in_txn_per_active_day,21.956480026245117
node2vec_03,20.725942611694336
node2vec_02,20.711830139160156
node2vec_06,19.144184112548828
node2vec_00,14.721783638000488
node2vec_07,12.836479187011719
in_txn_count,10.627552032470703
out_amount_median,8.199267387390137
out_night_txn_ratio,4.23016357421875
node2vec_04,3.8027515411376953
out_txn_count,3.011547088623047
out_night_txn_count,1.44927978515625
