feature,gain
total_txn_count,4203.35009765625
graph_component_size,3237.390380859375
graph_two_hop_neighbor_count,454.0251159667969
total_amount_sum,253.0933380126953
out_amount_max,55.376426696777344
graph_cycle3_proxy_count,54.51698303222656
out_round_1000_count,52.824554443359375
out_amount_mean,49.20490646362305
graph_reciprocal_neighbor_count,47.43896484375
in_amount_max,38.587894439697266
out_round_1000_ratio,35.68223571777344
pagerank,30.5334415435791
in_amount_per_txn,29.549345016479492
node2vec_02,29.065227508544922
out_night_txn_count,25.7530517578125
out_night_txn_ratio,23.068700790405273
node2vec_05,23.0555477142334
out_active_days,21.466367721557617
node2vec_00,21.360017776489258
node2vec_01,21.179410934448242
in_amount_mean,21.08966636657715
out_txn_count,20.77080535888672
monthly_amount_sum_std,20.51035499572754
node2vec_03,20.11429786682129
node2vec_07,17.381893157958984
node2vec_04,17.048913955688477
node2vec_06,14.669994354248047
in_amount_sum,14.389862060546875
net_amount,13.940628051757812
graph_total_degree,10.66912841796875
