feature,gain
total_txn_count,312.8920593261719
graph_component_size,160.64559936523438
graph_total_degree,69.87150573730469
graph_two_hop_neighbor_count,23.570669174194336
total_amount_sum,5.597261905670166
in_amount_max,4.228093147277832
graph_reciprocal_neighbor_count,3.9155144691467285
out_amount_sum,3.420011520385742
graph_cycle3_proxy_count,3.396480083465576
out_counterparty_nunique,3.391120433807373
node2vec_03,2.9510626792907715
in_amount_per_txn,2.6903722286224365
out_active_months,2.6653249263763428
node2vec_02,2.6430251598358154
monthly_amount_sum_std,2.633002519607544
in_counterparty_nunique,2.6140689849853516
in_amount_mean,2.5588393211364746
out_round_1000_count,2.4408113956451416
node2vec_04,2.4345312118530273
out_amount_median,2.425431489944458
node2vec_01,2.3505585193634033
out_amount_mean,2.336012840270996
out_amount_max,2.326082468032837
node2vec_05,2.319911241531372
out_round_1000_ratio,2.3152449131011963
out_txn_per_active_day,2.3012523651123047
node2vec_06,2.2630090713500977
first_month_txn_count,2.253328800201416
node2vec_00,2.2492916584014893
in_active_months,2.2306995391845703
node2vec_07,2.2003731727600098
out_txn_count,2.1872878074645996
in_out_count_ratio,2.1630687713623047
pagerank,2.1425304412841797
in_txn_per_active_day,2.1123650074005127
in_active_days,2.094731092453003
in_amount_sum,2.0210700035095215
net_amount,1.9075117111206055
in_out_amount_ratio,1.8693007230758667
in_txn_count,1.8355612754821777
txn_count_growth,1.8188356161117554
graph_out_degree,1.7746597528457642
in_amount_median,1.7391915321350098
monthly_txn_count_std,1.7382131814956665
in_round_1000_ratio,1.6191003322601318
out_active_days,1.2579962015151978
out_night_txn_ratio,1.0827420949935913
out_night_txn_count,0.9675331115722656
in_round_1000_count,0.630516767501831
