feature,gain
graph_neighbor_degree_mean,5745.39111328125
graph_two_hop_neighbor_count,1677.794189453125
graph_neighbor_degree_max,1418.1156005859375
daily_txn_count_max,1341.347900390625
node2vec_03,854.85791015625
daily_txn_count_mean,684.6621704101562
account_age_months,272.45977783203125
counterparty_amount_max,271.6332702636719
node2vec_01,260.28900146484375
node2vec_05,254.45960998535156
graph_nb_burst_day_txn_ratio_max,237.984130859375
node2vec_07,227.61563110351562
graph_in_nb_in_out_amount_ratio_mean,221.076416015625
region_code,219.76358032226562
node2vec_00,208.04800415039062
node2vec_06,205.75498962402344
counterparty_amount_mean,203.01026916503906
node2vec_02,184.95565795898438
node2vec_04,171.31710815429688
graph_nb_total_amount_sum_max,17.124296188354492
graph_nb_in_out_amount_ratio_max,10.815322875976562
graph_nb_total_txn_count_mean,8.053581237792969
