feature,gain
graph_component_edge_count,5279.9580078125
daily_txn_count_mean,4803.05029296875
graph_nb_total_amount_sum_max,3137.39794921875
graph_nb_total_amount_sum_mean,1568.482666015625
graph_two_hop_neighbor_count,466.0072937011719
graph_neighbor_degree_max,169.1742706298828
daily_amount_sum_max,85.21712493896484
graph_reciprocal_ratio,54.64802932739258
counterparty_count,49.08903121948242
graph_nb_max_next_out_count_after_in_24h_mean,48.001426696777344
counterparty_amount_top_ratio,47.08164978027344
region_code,44.235321044921875
graph_in_two_hop_reach,44.21052932739258
counterparty_amount_max,43.75804901123047
graph_nb_burst_day_txn_ratio_max,43.66941833496094
total_txn_count,43.65825271606445
graph_nb_burst_day_amount_ratio_max,42.50918197631836
graph_nb_burst_day_txn_ratio_mean,41.25273513793945
out_amount_median,39.768646240234375
graph_nb_total_txn_count_mean,38.52489471435547
out_amount_max,38.30168151855469
graph_in_nb_total_amount_sum_mean,38.05237579345703
graph_nb_in_out_amount_ratio_mean,37.54971694946289
activity_hour_nunique,37.11470031738281
monthly_amount_sum_cv,36.26127624511719
graph_neighbor_degree_std,35.79182052612305
monthly_amount_sum_std,35.729896545410156
account_age_months,34.49639129638672
graph_fan_in_out_balance,34.2138671875
node2vec_02,34.141502380371094
in_active_months,33.62928771972656
daily_amount_sum_mean,32.62858963012695
out_amount_mean,32.340782165527344
graph_in_nb_in_amount_sum_mean,31.694557189941406
graph_nb_counterparty_amount_top_ratio_mean,30.13287925720215
graph_nb_in_amount_sum_mean,29.7166748046875
graph_nb_fast_in_out_balance_ratio_24h_max,29.318798065185547
graph_in_nb_in_out_amount_ratio_mean,29.30759048461914
graph_in_nb_out_amount_sum_mean,28.6018009185791
out_round_1000_ratio,26.792512893676758
graph_neighbor_degree_mean,26.679218292236328
counterparty_txn_max,25.668405532836914
counterparty_txn_mean,25.590578079223633
net_amount,25.36323356628418
node2vec_05,24.51950454711914
burst_day_amount_ratio,24.51400375366211
in_active_days,23.705598831176758
activity_hour_entropy,23.651466369628906
graph_nb_total_self_loop_count_mean,23.35784149169922
graph_out_nb_out_amount_sum_mean,23.225914001464844
in_amount_median,22.92287254333496
graph_in_nb_burst_day_amount_ratio_mean,22.425275802612305
first_month_txn_count,22.319242477416992
in_small_amount_ratio,22.29566192626953
out_night_txn_ratio,21.99432945251465
graph_in_nb_max_prior_in_count_before_out_24h_mean,21.454572677612305
graph_out_nb_total_amount_sum_mean,20.679380416870117
txn_interarrival_min_mean,20.139415740966797
node2vec_06,20.014192581176758
daily_amount_sum_cv,19.406404495239258
graph_nb_multi_in_one_out_count_24h_max,18.986906051635742
graph_in_nb_max_next_out_count_after_in_24h_mean,18.778488159179688
graph_nb_max_prior_in_count_before_out_24h_mean,18.627410888671875
node2vec_04,18.528905868530273
node2vec_00,18.148761749267578
in_round_1000_count,18.13137435913086
node2vec_07,17.98395347595215
node2vec_01,17.855680465698242
node2vec_03,17.576805114746094
graph_in_nb_fast_in_out_count_24h_mean,17.514301300048828
graph_nb_fast_in_out_count_24h_mean,17.422222137451172
burst_day_txn_ratio,17.232215881347656
total_amount_sum,16.83197021484375
out_round_1000_count,16.68130111694336
graph_out_nb_counterparty_amount_top_ratio_mean,16.53829002380371
graph_out_nb_max_prior_in_count_before_out_24h_mean,16.163532257080078
graph_out_nb_in_out_amount_ratio_mean,15.217496871948242
out_amount_sum,15.124333381652832
monthly_txn_count_cv,14.45269775390625
in_out_amount_ratio,14.447308540344238
txn_interarrival_min_cv,14.366592407226562
out_txn_count,14.249959945678711
in_txn_count,13.576469421386719
activity_hour_txn_max_ratio,13.563878059387207
in_amount_mean,13.305877685546875
counterparty_amount_mean,13.175803184509277
txn_interarrival_min_std,13.11752700805664
graph_in_nb_counterparty_amount_top_ratio_mean,13.052712440490723
graph_nb_counterparty_txn_top_ratio_max,12.97735595703125
prior_in_before_out_mean_delay_min_24h,12.818514823913574
txn_count_growth,12.27908992767334
out_small_amount_count,11.463823318481445
graph_in_nb_counterparty_txn_top_ratio_mean,11.124441146850586
fast_in_out_mean_delay_min_24h,10.990949630737305
in_amount_sum,10.041491508483887
out_txn_per_active_day,9.273917198181152
graph_component_size,8.262901306152344
monthly_amount_sum_mean,7.624941825866699
pagerank,7.204162120819092
in_out_count_ratio,6.137230396270752
prior_in_before_out_mean_delay_min_6h,1.1523523330688477
out_amount_per_txn,0.7642307281494141
