feature,gain
daily_txn_count_mean,448.4761962890625
graph_nb_total_amount_sum_max,275.924072265625
graph_nb_total_amount_sum_mean,138.0569610595703
graph_component_size,44.709651947021484
graph_two_hop_neighbor_count,24.08638572692871
graph_hub_neighbor_ratio,21.840547561645508
graph_nb_max_prior_in_count_before_out_24h_max,14.921523094177246
graph_neighbor_degree_max,10.586748123168945
activity_hour_txn_max_ratio,8.498045921325684
counterparty_count,8.448328971862793
graph_neighbor_degree_std,5.238117694854736
region_code,4.526052474975586
graph_out_nb_max_next_out_count_after_in_24h_mean,4.355623245239258
account_age_months,4.040037631988525
graph_nb_in_amount_sum_mean,3.9101357460021973
counterparty_amount_max,3.8664588928222656
out_amount_per_txn,3.8430702686309814
graph_nb_total_txn_count_mean,3.5832009315490723
out_amount_median,3.5629801750183105
graph_nb_total_txn_count_max,3.530912160873413
graph_nb_burst_day_txn_ratio_max,3.5013530254364014
daily_amount_sum_max,3.257016181945801
graph_reciprocal_ratio,3.256527900695801
total_txn_count,3.0891494750976562
node2vec_03,3.0364136695861816
graph_in_nb_in_amount_sum_mean,2.9840426445007324
one_in_multi_out_in_amount_ratio_24h,2.976165771484375
graph_nb_burst_day_amount_ratio_max,2.9431052207946777
out_amount_mean,2.8824622631073
graph_nb_max_prior_in_count_before_out_24h_mean,2.8717525005340576
graph_in_nb_fast_in_out_count_24h_mean,2.864924430847168
out_amount_sum,2.7823550701141357
pagerank,2.7796008586883545
first_month_txn_count,2.7366943359375
out_small_amount_ratio,2.659162998199463
out_round_1000_ratio,2.618467092514038
monthly_amount_sum_cv,2.592430591583252
burst_day_amount_ratio,2.5782244205474854
graph_in_nb_in_out_amount_ratio_mean,2.5112524032592773
out_txn_per_active_day,2.4890689849853516
out_amount_max,2.471688985824585
monthly_txn_count_std,2.4656763076782227
graph_out_nb_max_prior_in_count_before_out_24h_mean,2.4234871864318848
in_active_months,2.39176607131958
daily_amount_sum_mean,2.378962516784668
in_txn_count,2.370330333709717
in_amount_max,2.343034029006958
monthly_amount_sum_std,2.3408398628234863
daily_txn_count_cv,2.339730739593506
graph_out_nb_out_amount_sum_mean,2.3297243118286133
graph_nb_multi_in_one_out_count_24h_max,2.3169426918029785
node2vec_02,2.3055903911590576
graph_in_nb_total_amount_sum_mean,2.2906289100646973
in_active_days,2.2809011936187744
activity_hour_nunique,2.255589246749878
node2vec_05,2.25205659866333
node2vec_06,2.202195167541504
out_round_1000_count,2.153724193572998
out_active_months,2.0957393646240234
node2vec_04,2.0937039852142334
node2vec_00,2.0816330909729004
graph_in_nb_burst_day_amount_ratio_mean,2.0793726444244385
node2vec_01,2.062398672103882
graph_nb_fast_in_out_balance_ratio_24h_max,2.017669916152954
counterparty_txn_mean,2.014235734939575
graph_nb_in_out_amount_ratio_max,2.001095771789551
graph_nb_burst_day_amount_ratio_mean,1.9957847595214844
in_amount_median,1.9052762985229492
node2vec_07,1.8819811344146729
graph_in_nb_max_prior_in_count_before_out_24h_mean,1.8808083534240723
in_amount_mean,1.8738720417022705
net_amount,1.854103446006775
graph_nb_counterparty_amount_top_ratio_mean,1.8330378532409668
graph_in_nb_max_next_out_count_after_in_24h_mean,1.8314976692199707
graph_fan_in_out_balance,1.820306420326233
graph_nb_multi_in_one_out_count_24h_mean,1.816221833229065
graph_in_nb_multi_in_one_out_count_24h_mean,1.8154985904693604
out_txn_count,1.7672009468078613
graph_nb_out_amount_sum_mean,1.7334506511688232
txn_interarrival_min_mean,1.7291048765182495
graph_nb_fast_in_out_count_24h_max,1.7228177785873413
graph_component_density,1.7149658203125
burst_day_txn_ratio,1.510772466659546
graph_out_nb_counterparty_amount_top_ratio_mean,1.476306438446045
graph_out_nb_fast_in_out_count_24h_mean,1.4655452966690063
graph_nb_in_out_amount_ratio_mean,1.4588719606399536
graph_nb_counterparty_txn_top_ratio_max,1.4479095935821533
graph_out_nb_counterparty_txn_top_ratio_mean,1.4208581447601318
graph_nb_burst_day_txn_ratio_mean,1.3952633142471313
graph_in_nb_burst_day_txn_ratio_mean,1.3519220352172852
graph_in_nb_counterparty_amount_top_ratio_mean,1.351027250289917
txn_count_growth,1.345598816871643
counterparty_amount_mean,1.338312029838562
graph_in_nb_out_amount_sum_mean,1.2993147373199463
monthly_txn_count_cv,1.2963117361068726
total_amount_sum,1.225257396697998
in_round_1000_ratio,1.2211726903915405
in_out_amount_ratio,1.1723852157592773
txn_interarrival_min_std,1.1719253063201904
in_small_amount_ratio,1.15622079372406
txn_interarrival_min_cv,1.1340667009353638
daily_txn_count_max,1.1321110725402832
out_night_txn_ratio,1.1294525861740112
in_round_1000_count,1.0679845809936523
prior_in_before_out_mean_delay_min_24h,1.0318351984024048
graph_nb_fast_in_out_count_24h_mean,0.9883246421813965
activity_hour_entropy,0.9710981249809265
in_amount_sum,0.9644111394882202
graph_nb_counterparty_amount_top_ratio_max,0.9608665704727173
out_night_txn_count,0.949815571308136
fast_in_out_mean_delay_min_24h,0.9205744862556458
graph_in_nb_counterparty_txn_top_ratio_mean,0.9168970584869385
out_small_amount_count,0.8815003037452698
fast_in_out_out_amount_ratio_24h,0.8184518814086914
graph_in_nb_total_self_loop_count_mean,0.792536735534668
graph_out_nb_fast_in_out_balance_ratio_24h_mean,0.7883281707763672
graph_out_nb_burst_day_amount_ratio_mean,0.7827339172363281
graph_nb_counterparty_txn_top_ratio_mean,0.7819157242774963
graph_out_in_degree_ratio,0.7635765075683594
prior_in_before_out_mean_delay_min_6h,0.7318819165229797
fast_in_out_in_amount_ratio_6h,0.7180221080780029
graph_out_nb_total_amount_sum_mean,0.6978548765182495
in_txn_per_active_day,0.6590065956115723
in_out_count_ratio,0.45720750093460083
fast_in_out_out_amount_ratio_1h,0.37122011184692383
max_next_out_count_after_in_24h,0.33708763122558594
daily_amount_sum_cv,0.32849299907684326
out_active_days,0.3059513568878174
fast_in_out_balance_ratio_1h,0.23791062831878662
fast_in_out_balance_ratio_24h,0.09573382139205933
