feature,gain
daily_txn_count_mean,7203.8203125
graph_nb_total_amount_sum_max,3409.313720703125
graph_nb_total_amount_sum_mean,2203.329345703125
graph_two_hop_neighbor_count,644.1386108398438
graph_neighbor_degree_max,279.4127502441406
daily_amount_sum_max,74.69221496582031
graph_nb_in_amount_sum_mean,70.07085418701172
graph_nb_fast_in_out_count_24h_mean,64.80250549316406
graph_reciprocal_ratio,64.23890686035156
counterparty_txn_mean,63.8134651184082
graph_nb_max_next_out_count_after_in_24h_mean,61.793338775634766
graph_nb_burst_day_txn_ratio_max,53.51929473876953
graph_in_nb_in_amount_sum_mean,51.06343078613281
graph_in_nb_total_amount_sum_mean,47.76323699951172
total_txn_count,43.9505729675293
counterparty_txn_max,43.810123443603516
graph_nb_max_prior_in_count_before_out_24h_mean,40.66461181640625
out_amount_median,39.05106735229492
counterparty_amount_top_ratio,37.42525863647461
graph_fan_in_out_balance,35.148193359375
graph_nb_counterparty_amount_top_ratio_mean,33.75909423828125
in_active_days,28.859628677368164
counterparty_txn_top_ratio,26.614654541015625
daily_amount_sum_mean,26.514379501342773
graph_out_nb_counterparty_amount_top_ratio_mean,25.7344970703125
graph_nb_total_txn_count_mean,25.216529846191406
counterparty_amount_max,22.6238956451416
out_night_txn_count,22.21990966796875
out_night_txn_ratio,21.03419303894043
in_small_amount_ratio,19.550003051757812
node2vec_07,19.03253936767578
node2vec_01,18.34775161743164
node2vec_06,18.174381256103516
node2vec_03,17.558874130249023
in_amount_sum,16.3060302734375
node2vec_05,16.03090476989746
node2vec_00,15.481043815612793
node2vec_04,14.102140426635742
node2vec_02,13.862221717834473
total_amount_sum,11.7369384765625
graph_in_nb_max_prior_in_count_before_out_24h_mean,11.609130859375
out_txn_per_active_day,10.528255462646484
