feature,gain
daily_txn_count_mean,518.1507568359375
graph_nb_total_amount_sum_mean,280.1795349121094
graph_nb_total_amount_sum_max,253.23104858398438
graph_component_size,53.21860122680664
graph_two_hop_neighbor_count,25.339130401611328
graph_neighbor_degree_max,19.52444839477539
graph_nb_max_prior_in_count_before_out_24h_max,14.804688453674316
graph_out_nb_in_out_amount_ratio_mean,8.551851272583008
graph_nb_total_txn_count_max,6.734328269958496
graph_neighbor_degree_std,5.216651916503906
graph_nb_counterparty_amount_top_ratio_max,5.213269233703613
activity_hour_txn_max_ratio,5.000471591949463
graph_nb_total_txn_count_mean,4.6037278175354
graph_nb_burst_day_amount_ratio_max,4.214989185333252
graph_neighbor_degree_mean,4.070733547210693
graph_nb_burst_day_amount_ratio_mean,3.9708316326141357
daily_amount_sum_max,3.9627246856689453
graph_nb_in_amount_sum_mean,3.867748260498047
max_next_out_count_after_in_24h,3.665867328643799
one_in_multi_out_in_amount_ratio_24h,3.550569772720337
graph_nb_multi_in_one_out_count_24h_max,3.4142343997955322
daily_amount_sum_mean,3.4130146503448486
total_txn_count,3.3901631832122803
node2vec_03,3.355654001235962
out_amount_mean,3.265730619430542
graph_reciprocal_ratio,3.219149112701416
node2vec_02,3.140401840209961
graph_in_two_hop_reach,3.0433669090270996
graph_nb_burst_day_txn_ratio_max,2.9813942909240723
out_amount_max,2.943000555038452
in_amount_max,2.9396190643310547
graph_nb_fast_in_out_count_24h_mean,2.8822948932647705
out_txn_count,2.8531384468078613
graph_in_nb_in_amount_sum_mean,2.8503527641296387
out_amount_sum,2.8417856693267822
graph_nb_burst_day_txn_ratio_mean,2.840663433074951
in_active_months,2.822397470474243
pagerank,2.761624813079834
monthly_amount_sum_cv,2.7342381477355957
counterparty_count,2.7228240966796875
node2vec_04,2.7187812328338623
node2vec_01,2.700448989868164
node2vec_05,2.6809258460998535
monthly_txn_count_mean,2.6701860427856445
burst_day_amount_ratio,2.6660187244415283
out_amount_median,2.6413350105285645
node2vec_06,2.5664093494415283
graph_out_nb_max_prior_in_count_before_out_24h_mean,2.557729721069336
counterparty_amount_top_ratio,2.4740591049194336
in_txn_count,2.472517967224121
monthly_txn_count_std,2.4369752407073975
daily_txn_count_std,2.411900520324707
node2vec_00,2.3815488815307617
out_small_amount_ratio,2.3752188682556152
out_round_1000_ratio,2.3237340450286865
node2vec_07,2.282942771911621
out_active_months,2.259249210357666
graph_in_nb_total_amount_sum_mean,2.2517824172973633
graph_in_nb_burst_day_amount_ratio_mean,2.2177071571350098
activity_hour_nunique,2.1932404041290283
counterparty_txn_mean,2.1577043533325195
graph_in_nb_fast_in_out_count_24h_mean,2.129465103149414
out_round_1000_count,1.9888118505477905
last_month_txn_count,1.9806991815567017
monthly_amount_sum_std,1.9712307453155518
burst_day_txn_ratio,1.926010251045227
graph_nb_counterparty_amount_top_ratio_mean,1.9114923477172852
net_amount,1.9098256826400757
txn_interarrival_min_cv,1.8991117477416992
daily_txn_count_cv,1.8971563577651978
in_amount_mean,1.8233797550201416
graph_fan_in_out_balance,1.8155196905136108
graph_nb_counterparty_txn_top_ratio_max,1.798590064048767
graph_in_nb_max_prior_in_count_before_out_24h_mean,1.6707496643066406
daily_amount_sum_std,1.6534740924835205
graph_total_degree,1.597760796546936
counterparty_amount_max,1.5921162366867065
graph_nb_max_next_out_count_after_in_24h_mean,1.578121542930603
graph_out_degree,1.5679067373275757
one_in_multi_out_count_24h,1.5372488498687744
graph_in_nb_burst_day_txn_ratio_mean,1.490235686302185
txn_interarrival_min_std,1.449635624885559
monthly_txn_count_cv,1.421535849571228
prior_in_before_out_mean_delay_min_24h,1.3683280944824219
graph_in_nb_in_out_amount_ratio_mean,1.3665543794631958
graph_nb_counterparty_txn_top_ratio_mean,1.339074730873108
graph_in_nb_total_txn_count_mean,1.31462562084198
in_small_amount_ratio,1.263306975364685
graph_nb_in_out_amount_ratio_mean,1.2086941003799438
activity_hour_entropy,1.1969743967056274
graph_in_nb_out_amount_sum_mean,1.182626485824585
in_amount_median,1.176792860031128
total_amount_sum,1.0924049615859985
out_night_txn_ratio,1.0789958238601685
in_out_amount_ratio,1.059237003326416
txn_interarrival_min_mean,0.9722585678100586
out_txn_per_active_day,0.9614691734313965
out_night_txn_count,0.9202127456665039
graph_out_nb_counterparty_amount_top_ratio_mean,0.8972518444061279
graph_in_nb_counterparty_txn_top_ratio_mean,0.8666622638702393
prior_in_before_out_mean_delay_min_6h,0.865744948387146
graph_nb_multi_in_one_out_count_24h_mean,0.8579289317131042
graph_out_nb_fast_in_out_balance_ratio_24h_mean,0.7873859405517578
graph_nb_total_non_positive_amount_count_mean,0.7544841766357422
txn_count_growth,0.7473053932189941
fast_in_out_mean_delay_min_24h,0.7313213348388672
graph_out_nb_total_amount_sum_mean,0.7185091972351074
counterparty_amount_mean,0.7155879735946655
graph_nb_max_prior_in_count_before_out_24h_mean,0.5731465220451355
graph_out_nb_total_non_positive_amount_count_mean,0.49024200439453125
fast_in_out_out_amount_ratio_1h,0.4427163600921631
in_out_count_ratio,0.4377926290035248
