feature,gain
graph_two_hop_neighbor_count,1367.079345703125
graph_neighbor_degree_max,802.4989013671875
daily_txn_count_mean,673.52392578125
total_amount_sum,193.2819366455078
daily_txn_count_max,168.67604064941406
graph_neighbor_degree_mean,96.56216430664062
region_code,61.706905364990234
account_age_months,60.4005241394043
in_amount_sum,59.09794998168945
in_txn_per_active_day,55.48655319213867
out_txn_count,51.337646484375
daily_amount_sum_mean,49.30272674560547
net_amount,37.72977828979492
pagerank,25.221345901489258
graph_component_size,1.2844085693359375
total_txn_count,0.503631591796875
