feature,gain
graph_component_edge_count,4672.0810546875
graph_component_size,2222.006591796875
daily_txn_count_max,1551.4842529296875
daily_txn_count_mean,558.1491088867188
graph_two_hop_neighbor_count,223.91116333007812
graph_neighbor_degree_max,108.23783874511719
total_amount_sum,95.87672424316406
out_amount_per_txn,54.46469497680664
daily_amount_sum_max,53.08787536621094
graph_reciprocal_ratio,43.45387268066406
monthly_amount_sum_cv,35.74625015258789
graph_neighbor_degree_std,27.535953521728516
region_code,22.51083755493164
out_night_txn_ratio,21.68830108642578
daily_amount_sum_mean,21.135339736938477
out_round_1000_ratio,20.581745147705078
graph_neighbor_degree_mean,20.195903778076172
total_txn_count,19.234737396240234
graph_reciprocal_neighbor_count,18.463407516479492
out_round_1000_count,16.75700569152832
out_amount_mean,16.39112663269043
graph_total_degree,16.15627670288086
in_small_amount_ratio,15.720291137695312
burst_day_amount_ratio,14.934880256652832
account_age_months,14.817686080932617
out_txn_per_active_day,14.122889518737793
monthly_amount_sum_std,13.587916374206543
pagerank,13.356607437133789
in_txn_count,13.227728843688965
in_active_months,12.843452453613281
in_amount_per_txn,12.514981269836426
in_small_amount_count,12.239420890808105
in_amount_sum,12.017791748046875
out_counterparty_nunique,11.872066497802734
out_amount_max,11.815678596496582
in_amount_median,11.630173683166504
net_amount,11.481365203857422
daily_txn_count_cv,11.316410064697266
daily_txn_count_std,10.297575950622559
monthly_txn_count_std,10.233877182006836
last_month_txn_count,10.06460189819336
monthly_txn_count_cv,10.017346382141113
in_out_amount_ratio,9.903291702270508
out_active_days,9.59652042388916
daily_amount_sum_cv,9.501808166503906
out_amount_sum,9.357890129089355
in_amount_mean,9.29719066619873
in_amount_max,9.197382926940918
out_night_txn_count,9.100130081176758
out_amount_median,8.808145523071289
burst_day_txn_ratio,8.798476219177246
txn_count_growth,8.429854393005371
fast_in_out_mean_delay_min_24h,8.307599067687988
out_small_amount_ratio,8.207528114318848
in_txn_per_active_day,8.203182220458984
graph_component_density,8.024137496948242
in_round_1000_ratio,7.56075382232666
out_txn_count,7.1079840660095215
in_active_days,6.881805419921875
first_month_txn_count,6.847212314605713
in_out_count_ratio,6.4264445304870605
daily_amount_sum_std,5.780111312866211
in_round_1000_count,4.793526649475098
max_prior_in_count_before_out_24h,4.682529449462891
monthly_amount_sum_mean,4.56715202331543
graph_hub_neighbor_ratio,4.493513107299805
fast_in_out_mean_delay_min_6h,4.488668918609619
one_in_multi_out_in_amount_ratio_24h,3.294475555419922
fast_in_out_in_amount_ratio_1h,2.8383076190948486
fast_in_out_in_amount_ratio_6h,2.81062650680542
fast_in_out_count_24h,1.9720191955566406
