feature,gain
daily_txn_count_max,182.36764526367188
daily_txn_count_mean,121.42510986328125
graph_component_size,116.40249633789062
graph_component_edge_count,114.4333724975586
graph_total_degree,105.19320678710938
graph_two_hop_neighbor_count,14.274153709411621
total_amount_sum,5.8763108253479
graph_neighbor_degree_max,4.123455047607422
out_amount_per_txn,3.371328830718994
max_next_out_count_after_in_24h,3.231503486633301
graph_neighbor_degree_std,3.208632469177246
daily_amount_sum_max,3.171660900115967
graph_reciprocal_ratio,2.907174825668335
one_in_multi_out_count_24h,2.8212740421295166
region_code,2.4454033374786377
one_in_multi_out_in_amount_ratio_24h,2.1141393184661865
graph_neighbor_degree_mean,2.0369975566864014
daily_amount_sum_mean,1.9976437091827393
account_age_months,1.9015884399414062
in_active_months,1.8692110776901245
out_amount_mean,1.70806086063385
out_amount_sum,1.7072958946228027
monthly_amount_sum_cv,1.7027286291122437
out_round_1000_count,1.6510692834854126
in_amount_sum,1.5623685121536255
monthly_txn_count_std,1.555809497833252
out_round_1000_ratio,1.4845675230026245
total_txn_count,1.4773935079574585
monthly_amount_sum_std,1.4703407287597656
monthly_txn_count_mean,1.4611767530441284
in_small_amount_count,1.4402084350585938
daily_txn_count_cv,1.3642947673797607
in_out_amount_ratio,1.3343901634216309
out_amount_median,1.3117361068725586
pagerank,1.2980073690414429
out_night_txn_ratio,1.2824960947036743
net_amount,1.2743549346923828
monthly_txn_count_cv,1.2394707202911377
out_amount_max,1.2203861474990845
daily_amount_sum_std,1.2168916463851929
in_txn_count,1.1976382732391357
daily_txn_count_std,1.1928784847259521
in_amount_median,1.1713720560073853
in_amount_mean,1.1560689210891724
burst_day_txn_ratio,1.1471658945083618
in_small_amount_ratio,1.1446171998977661
burst_day_amount_ratio,1.1103821992874146
out_txn_count,1.0590159893035889
in_txn_per_active_day,1.0204054117202759
out_counterparty_nunique,1.003970980644226
in_out_count_ratio,1.0032788515090942
first_month_txn_count,0.9995613098144531
daily_amount_sum_cv,0.9781712889671326
in_active_days,0.9768276810646057
txn_count_growth,0.9424664974212646
out_small_amount_count,0.9244124293327332
fast_in_out_in_amount_ratio_6h,0.9056811332702637
out_txn_per_active_day,0.8946073055267334
in_amount_max,0.8771939277648926
out_night_txn_count,0.8711821436882019
graph_component_density,0.8530070185661316
in_round_1000_ratio,0.8456167578697205
monthly_amount_sum_mean,0.7938232421875
out_active_days,0.7409911751747131
out_small_amount_ratio,0.6112744808197021
fast_in_out_in_amount_ratio_24h,0.5777523517608643
fast_in_out_mean_delay_min_24h,0.5670129060745239
fast_in_out_count_1h,0.5239434242248535
in_round_1000_count,0.4579477310180664
fast_in_out_mean_delay_min_6h,0.4434797465801239
last_month_txn_count,0.40995267033576965
graph_hub_neighbor_ratio,0.27116164565086365
