feature,gain
customer_type_对公,762.4039916992188
customer_type_对私,579.1326293945312
graph_component_edge_count,205.99754333496094
in_amount_median,47.18815612792969
daily_txn_count_max,30.0531063079834
daily_txn_count_mean,28.90424919128418
graph_component_size,25.879854202270508
burst_day_amount_ratio,20.479909896850586
daily_amount_sum_mean,17.492767333984375
total_amount_sum,14.395113945007324
account_age_months,10.790448188781738
daily_amount_sum_max,10.517556190490723
in_amount_sum,8.62568473815918
region_code,8.156461715698242
graph_two_hop_neighbor_count,5.992100715637207
daily_amount_sum_std,3.9736685752868652
out_night_txn_count,3.932586669921875
monthly_txn_count_cv,3.51806640625
daily_txn_count_cv,3.423612594604492
in_txn_per_active_day,3.0599753856658936
in_small_amount_ratio,2.7519938945770264
in_active_months,2.5393574237823486
graph_reciprocal_ratio,2.3847625255584717
graph_neighbor_degree_max,2.2409284114837646
net_amount,2.153513193130493
monthly_amount_sum_cv,2.120906352996826
daily_txn_count_std,1.9054886102676392
daily_amount_sum_cv,1.029876708984375
graph_neighbor_degree_std,0.8408203125
graph_neighbor_degree_mean,0.8387082815170288
out_amount_median,0.3534005582332611
in_txn_count,0.15209531784057617
out_round_1000_ratio,0.10007835924625397
