feature,gain
daily_txn_count_max,3151.1279296875
graph_component_size,2404.52099609375
graph_component_edge_count,1970.5517578125
daily_txn_count_mean,861.8911743164062
graph_two_hop_neighbor_count,235.1115264892578
graph_neighbor_degree_max,120.26807403564453
total_amount_sum,51.623226165771484
daily_amount_sum_max,43.52815628051758
graph_reciprocal_ratio,40.344398498535156
out_amount_per_txn,37.19010543823242
monthly_amount_sum_cv,33.6569709777832
daily_amount_sum_std,27.6693115234375
graph_neighbor_degree_std,25.193805694580078
out_amount_mean,25.106212615966797
graph_low_degree_neighbor_ratio,24.9874267578125
graph_neighbor_degree_mean,21.434598922729492
out_amount_median,21.14791488647461
daily_amount_sum_mean,20.36464500427246
out_night_txn_ratio,19.859664916992188
out_round_1000_ratio,19.42027473449707
graph_total_degree,18.657514572143555
daily_amount_sum_cv,18.37059783935547
total_txn_count,17.865280151367188
one_in_multi_out_in_amount_ratio_24h,17.44636344909668
burst_day_amount_ratio,17.40806770324707
burst_day_txn_ratio,17.384136199951172
in_small_amount_ratio,17.15201187133789
pagerank,17.14613914489746
in_active_days,16.227279663085938
in_amount_median,15.474023818969727
monthly_amount_sum_std,15.314391136169434
in_active_months,14.94775676727295
out_round_1000_count,14.937621116638184
monthly_txn_count_mean,13.838994979858398
in_amount_sum,13.256105422973633
in_txn_count,12.817499160766602
net_amount,12.595109939575195
graph_component_density,12.435596466064453
in_amount_mean,11.731232643127441
in_out_amount_ratio,10.718384742736816
in_amount_max,10.111176490783691
txn_count_growth,9.796053886413574
out_amount_sum,9.397910118103027
in_round_1000_ratio,9.207561492919922
daily_txn_count_cv,9.192451477050781
monthly_txn_count_cv,9.002984046936035
out_small_amount_count,8.614890098571777
in_txn_per_active_day,8.558618545532227
out_active_days,8.44016170501709
monthly_amount_sum_mean,8.38952350616455
daily_txn_count_std,8.067440032958984
in_out_count_ratio,7.865772724151611
in_round_1000_count,7.305474758148193
out_small_amount_ratio,6.982041835784912
out_night_txn_count,6.658326148986816
first_month_txn_count,6.249453067779541
out_amount_max,5.877604007720947
out_txn_count,5.547589302062988
fast_in_out_mean_delay_min_24h,5.376163959503174
in_small_amount_count,4.486999988555908
fast_in_out_mean_delay_min_6h,3.300581455230713
