feature,gain
graph_component_size,2131.455078125
total_txn_count,494.5555114746094
graph_total_degree,444.4368896484375
graph_two_hop_neighbor_count,98.30711364746094
total_amount_sum,74.77425384521484
graph_cycle3_proxy_count,66.88521575927734
graph_reciprocal_neighbor_count,48.78888702392578
out_round_1000_ratio,27.578296661376953
out_counterparty_nunique,25.69533920288086
out_amount_mean,25.37328338623047
monthly_amount_sum_std,25.321168899536133
out_night_txn_ratio,24.399282455444336
region_code,22.37965965270996
pagerank,17.609718322753906
out_round_1000_count,17.58026695251465
net_amount,15.381791114807129
account_age_months,15.05397891998291
in_amount_mean,15.048317909240723
out_amount_max,14.778389930725098
out_txn_count,14.545512199401855
txn_count_growth,12.823600769042969
out_amount_sum,12.6957426071167
in_amount_max,11.995206832885742
in_txn_count,11.630348205566406
in_active_months,11.581154823303223
out_txn_per_active_day,11.2636137008667
in_amount_sum,11.056451797485352
out_active_days,10.893324851989746
in_out_count_ratio,10.527261734008789
out_night_txn_count,9.906880378723145
in_amount_median,9.641694068908691
in_txn_per_active_day,9.438984870910645
in_out_amount_ratio,9.091361045837402
in_amount_per_txn,8.808513641357422
graph_in_degree,8.316387176513672
in_active_days,7.162538051605225
in_round_1000_ratio,6.935127258300781
monthly_txn_count_std,6.743544101715088
first_month_txn_count,6.686608791351318
out_amount_median,6.6176438331604
in_counterparty_nunique,5.954141139984131
in_round_1000_count,4.50510311126709
last_month_txn_count,4.371923923492432
out_active_months,2.863949775695801
graph_out_degree,2.38844633102417
