feature,gain
total_txn_count,109.75457000732422
graph_component_size,101.32073211669922
graph_total_degree,35.08627700805664
graph_two_hop_neighbor_count,12.222797393798828
total_amount_sum,3.7666919231414795
graph_reciprocal_neighbor_count,2.9466779232025146
graph_cycle3_proxy_count,2.9129598140716553
graph_out_degree,2.861443281173706
out_counterparty_nunique,2.7983691692352295
region_code,2.4294066429138184
out_amount_max,2.3231890201568604
out_active_months,2.1162703037261963
account_age_months,1.8717191219329834
out_round_1000_count,1.8092989921569824
out_round_1000_ratio,1.7663946151733398
out_amount_sum,1.7198997735977173
monthly_amount_sum_std,1.7016050815582275
out_txn_count,1.6857200860977173
out_amount_per_txn,1.626799464225769
monthly_txn_count_std,1.5771026611328125
in_amount_max,1.5742077827453613
in_amount_median,1.5519834756851196
pagerank,1.525717854499817
out_night_txn_ratio,1.4783618450164795
net_amount,1.4624536037445068
in_active_months,1.4330363273620605
out_amount_mean,1.3429874181747437
in_counterparty_nunique,1.2790896892547607
in_amount_sum,1.2438318729400635
in_amount_mean,1.2147514820098877
out_txn_per_active_day,1.116949200630188
txn_count_growth,1.114258050918579
out_amount_median,1.0766093730926514
in_txn_count,1.068327784538269
in_active_days,1.0013911724090576
out_active_days,0.9906725883483887
out_night_txn_count,0.9392977356910706
in_txn_per_active_day,0.934088945388794
in_out_count_ratio,0.8945948481559753
first_month_txn_count,0.8854065537452698
in_amount_per_txn,0.8714339137077332
in_out_amount_ratio,0.8336295485496521
in_round_1000_count,0.7234533429145813
in_round_1000_ratio,0.6347387433052063
last_month_txn_count,0.3844805955886841
