feature,gain
customer_type_对公,1503.320068359375
customer_type_对私,441.7992248535156
total_txn_count,32.545040130615234
in_amount_median,28.523971557617188
out_amount_median,27.32781982421875
pagerank,26.57468605041504
total_amount_sum,26.157196044921875
account_age_months,24.7957706451416
graph_two_hop_neighbor_count,24.53141975402832
graph_component_size,24.41451644897461
region_code,20.477832794189453
in_amount_sum,11.319343566894531
in_active_months,10.950255393981934
graph_total_degree,10.739580154418945
out_txn_count,6.962843418121338
in_txn_per_active_day,6.557716369628906
out_night_txn_count,2.7761597633361816
monthly_txn_count_std,2.0420589447021484
out_amount_mean,1.97021484375
out_round_1000_count,1.8634920120239258
in_round_1000_ratio,1.4240394830703735
out_round_1000_ratio,0.34809017181396484
out_active_months,0.18133628368377686
in_txn_count,0.10469698905944824
