feature,gain
customer_type_对公,114.23091125488281
customer_type_对私,35.49460220336914
first_month_txn_count,7.924979209899902
graph_two_hop_neighbor_count,6.1089630126953125
graph_component_size,3.9594223499298096
total_txn_count,2.7354137897491455
out_amount_median,2.4329633712768555
account_age_months,2.010544776916504
graph_total_degree,1.407665729522705
region_code,1.2074745893478394
total_amount_sum,1.0853241682052612
out_txn_count,0.7820599675178528
in_amount_median,0.7557989954948425
pagerank,0.6521886587142944
out_night_txn_count,0.5764923095703125
in_amount_max,0.5754349827766418
in_active_months,0.493066668510437
in_txn_count,0.4314956068992615
in_round_1000_ratio,0.4240280091762543
monthly_txn_count_std,0.4125518798828125
in_txn_per_active_day,0.3972329795360565
in_amount_per_txn,0.3905751407146454
out_amount_max,0.3670227527618408
in_amount_sum,0.3649847209453583
in_active_days,0.32387739419937134
net_amount,0.32372400164604187
out_amount_sum,0.31305181980133057
txn_count_growth,0.283172607421875
in_amount_mean,0.2506120800971985
monthly_amount_sum_std,0.16540436446666718
out_round_1000_ratio,0.12647657096385956
out_night_txn_ratio,0.10681915283203125
out_amount_mean,0.09482768177986145
in_round_1000_count,0.030267758294939995
in_out_count_ratio,0.010918915271759033
