feature,gain
graph_component_size,1686.4031982421875
total_txn_count,846.2069091796875
graph_total_degree,314.9424133300781
graph_two_hop_neighbor_count,156.6706085205078
total_amount_sum,57.37013244628906
graph_reciprocal_neighbor_count,44.175575256347656
graph_cycle3_proxy_count,35.467132568359375
monthly_amount_sum_std,27.251611709594727
out_round_1000_ratio,22.888011932373047
out_amount_max,20.419523239135742
out_round_1000_count,20.39220428466797
in_active_months,18.3590030670166
out_counterparty_nunique,17.5902156829834
out_night_txn_ratio,16.576480865478516
out_amount_per_txn,15.902928352355957
out_amount_mean,15.855624198913574
in_amount_sum,15.787068367004395
in_amount_median,15.6848783493042
monthly_txn_count_std,15.40686321258545
out_amount_sum,14.474564552307129
pagerank,14.366930961608887
out_txn_count,13.75681209564209
out_night_txn_count,13.569029808044434
net_amount,13.322121620178223
out_active_days,13.189187049865723
in_amount_max,13.028703689575195
in_amount_mean,12.42500114440918
in_out_count_ratio,11.474949836730957
in_amount_per_txn,11.167933464050293
txn_count_growth,11.008161544799805
out_active_months,10.331521987915039
in_txn_per_active_day,10.017012596130371
in_txn_count,9.8448486328125
in_active_days,9.710701942443848
first_month_txn_count,9.30959415435791
out_txn_per_active_day,8.791248321533203
in_out_amount_ratio,7.618759632110596
out_amount_median,7.571446895599365
graph_in_degree,7.528102397918701
in_round_1000_ratio,7.2294745445251465
in_counterparty_nunique,5.507147789001465
in_round_1000_count,4.445126056671143
