feature,gain
graph_component_size,69.44186401367188
total_txn_count,49.982913970947266
graph_total_degree,16.266826629638672
graph_two_hop_neighbor_count,4.845073699951172
graph_reciprocal_neighbor_count,2.7239904403686523
out_counterparty_nunique,2.412177801132202
graph_cycle3_proxy_count,2.338387966156006
graph_out_degree,1.642602801322937
monthly_amount_sum_std,1.3544865846633911
out_round_1000_ratio,1.3220713138580322
out_round_1000_count,1.2310060262680054
total_amount_sum,1.1903083324432373
out_txn_per_active_day,1.1844185590744019
monthly_txn_count_std,1.0463060140609741
out_night_txn_ratio,0.9836639761924744
in_amount_per_txn,0.9116318225860596
out_amount_max,0.8555231690406799
out_txn_count,0.846358060836792
out_amount_per_txn,0.7984107732772827
out_amount_mean,0.7852077484130859
in_active_months,0.7789261937141418
in_active_days,0.7119008302688599
in_amount_mean,0.7076637744903564
out_amount_sum,0.682405948638916
in_amount_max,0.6643578410148621
txn_count_growth,0.6550769209861755
out_night_txn_count,0.6477236151695251
pagerank,0.6394802331924438
in_amount_sum,0.6186813116073608
in_txn_count,0.6170057058334351
in_out_amount_ratio,0.6141349077224731
out_active_months,0.61226487159729
net_amount,0.5790583491325378
in_amount_median,0.5747584700584412
in_txn_per_active_day,0.5570338368415833
in_round_1000_ratio,0.5157468914985657
in_out_count_ratio,0.4939843714237213
in_counterparty_nunique,0.49141040444374084
out_amount_median,0.48801133036613464
out_active_days,0.4557432234287262
first_month_txn_count,0.41177675127983093
graph_in_degree,0.3893788158893585
in_round_1000_count,0.3708132803440094
last_month_txn_count,0.31348350644111633
