feature,gain
graph_two_hop_neighbor_count,1502.0377197265625
graph_neighbor_degree_max,1469.13427734375
daily_txn_count_max,882.7222290039062
daily_txn_count_mean,528.7279052734375
graph_neighbor_degree_mean,288.40234375
graph_in_two_hop_reach,246.1905517578125
counterparty_amount_max,187.51187133789062
graph_nb_counterparty_amount_top_ratio_mean,166.010009765625
graph_in_nb_in_amount_sum_mean,142.0345001220703
graph_nb_total_txn_count_mean,120.1041259765625
graph_nb_counterparty_amount_top_ratio_max,118.41204833984375
counterparty_amount_mean,100.08016967773438
in_txn_count,77.349609375
graph_nb_total_txn_count_max,63.24077606201172
account_age_months,62.26225662231445
graph_in_nb_max_prior_in_count_before_out_24h_mean,59.79460906982422
region_code,59.45273208618164
graph_nb_max_prior_in_count_before_out_24h_mean,58.733543395996094
daily_amount_sum_mean,49.48223876953125
in_amount_median,39.67137908935547
graph_in_nb_in_out_amount_ratio_mean,27.87248420715332
graph_nb_in_out_amount_ratio_mean,23.96644401550293
graph_nb_in_out_amount_ratio_max,5.380762100219727
