feature,gain
graph_nb_total_amount_sum_max,2414.68994140625
graph_nb_total_amount_sum_mean,1752.423583984375
daily_txn_count_mean,967.6160888671875
graph_component_size,508.40399169921875
graph_hub_neighbor_ratio,497.223388671875
graph_two_hop_neighbor_count,265.0224609375
graph_neighbor_degree_max,186.4604034423828
graph_nb_total_txn_count_max,84.70185852050781
counterparty_count,54.94914245605469
graph_fan_in_out_balance,50.84326171875
graph_reciprocal_ratio,49.35758972167969
counterparty_txn_max,43.79693603515625
graph_nb_fast_in_out_count_24h_max,43.15806198120117
graph_nb_max_prior_in_count_before_out_24h_max,38.74650573730469
graph_nb_in_amount_sum_mean,36.720420837402344
graph_nb_burst_day_amount_ratio_max,35.96747970581055
graph_nb_fast_in_out_count_24h_mean,34.346282958984375
graph_nb_burst_day_txn_ratio_max,32.700469970703125
out_amount_mean,31.522485733032227
graph_in_nb_fast_in_out_count_24h_mean,31.48066520690918
graph_neighbor_degree_std,31.129865646362305
one_in_multi_out_in_amount_ratio_24h,29.58820343017578
monthly_amount_sum_cv,29.476287841796875
counterparty_amount_max,28.647876739501953
graph_nb_fast_in_out_balance_ratio_24h_max,27.745559692382812
monthly_amount_sum_std,26.63362693786621
daily_amount_sum_max,25.551753997802734
out_round_1000_ratio,24.592679977416992
graph_in_nb_in_amount_sum_mean,23.990270614624023
in_active_months,23.527856826782227
daily_amount_sum_mean,22.802122116088867
total_txn_count,22.629735946655273
out_amount_max,22.131250381469727
region_code,21.90349769592285
graph_neighbor_degree_mean,21.673559188842773
out_active_months,19.388988494873047
graph_nb_total_txn_count_mean,19.147092819213867
graph_total_degree,18.77643585205078
out_night_txn_ratio,18.768272399902344
in_amount_max,18.4069766998291
daily_amount_sum_std,18.19493865966797
graph_in_nb_total_amount_sum_mean,17.9368839263916
in_small_amount_ratio,17.13054656982422
graph_nb_max_prior_in_count_before_out_24h_mean,16.80952262878418
in_active_days,16.518587112426758
graph_in_nb_burst_day_amount_ratio_mean,16.400691986083984
activity_hour_entropy,16.276451110839844
graph_nb_in_out_amount_ratio_mean,16.11672592163086
in_small_amount_count,16.00635528564453
graph_in_nb_max_next_out_count_after_in_24h_mean,15.900535583496094
in_amount_median,15.886420249938965
graph_nb_counterparty_amount_top_ratio_mean,15.722329139709473
activity_hour_nunique,15.654813766479492
burst_day_txn_ratio,15.42141056060791
account_age_months,15.045587539672852
graph_out_nb_max_prior_in_count_before_out_24h_mean,14.422905921936035
graph_in_two_hop_reach,14.32993221282959
graph_nb_counterparty_txn_top_ratio_max,14.307329177856445
burst_day_amount_ratio,13.277873039245605
graph_in_nb_max_prior_in_count_before_out_24h_mean,13.13154125213623
graph_nb_counterparty_txn_top_ratio_mean,12.709638595581055
graph_out_nb_total_amount_sum_mean,12.544477462768555
monthly_txn_count_mean,12.157071113586426
fast_in_out_mean_delay_min_24h,11.873390197753906
total_amount_sum,11.837027549743652
in_amount_mean,11.763642311096191
graph_in_nb_counterparty_amount_top_ratio_mean,11.277116775512695
net_amount,10.94338607788086
graph_nb_in_out_amount_ratio_max,10.832275390625
out_amount_median,10.674524307250977
graph_out_nb_counterparty_amount_top_ratio_mean,10.651573181152344
out_txn_per_active_day,10.347323417663574
graph_in_nb_in_out_amount_ratio_mean,10.025375366210938
graph_in_nb_out_amount_sum_mean,10.023368835449219
pagerank,9.816855430603027
max_next_out_count_after_in_24h,9.79063892364502
in_round_1000_ratio,9.50268268585205
graph_nb_burst_day_amount_ratio_mean,9.465056419372559
daily_txn_count_std,9.356864929199219
graph_in_nb_counterparty_txn_top_ratio_mean,9.009284973144531
in_out_amount_ratio,8.99281120300293
graph_out_nb_in_out_amount_ratio_mean,8.901782989501953
in_txn_count,8.8784818649292
txn_interarrival_min_std,8.854514122009277
in_amount_sum,8.708757400512695
graph_out_nb_out_amount_sum_mean,8.595489501953125
activity_hour_txn_max_ratio,8.567063331604004
graph_out_nb_in_amount_sum_mean,8.223921775817871
out_round_1000_count,8.182488441467285
txn_interarrival_min_cv,8.1055326461792
txn_interarrival_min_mean,8.04835033416748
graph_nb_max_next_out_count_after_in_24h_max,7.923274993896484
counterparty_amount_mean,7.832172393798828
graph_nb_counterparty_amount_top_ratio_max,7.746984958648682
graph_nb_burst_day_txn_ratio_mean,7.698206424713135
counterparty_txn_mean,7.501899242401123
out_night_txn_count,7.4305830001831055
txn_count_growth,7.302915096282959
prior_in_before_out_mean_delay_min_24h,7.164203643798828
counterparty_amount_top_ratio,7.0534210205078125
out_amount_sum,7.007397174835205
monthly_txn_count_std,6.397218704223633
daily_amount_sum_cv,5.854754447937012
in_txn_per_active_day,5.5952606201171875
out_small_amount_ratio,5.169042587280273
in_round_1000_count,4.923428535461426
monthly_txn_count_cv,4.909854888916016
graph_in_nb_burst_day_txn_ratio_mean,4.7418389320373535
graph_out_nb_burst_day_amount_ratio_mean,4.506890296936035
daily_txn_count_cv,4.435809135437012
in_out_count_ratio,4.37941312789917
fast_in_out_out_amount_ratio_1h,4.255863189697266
graph_nb_multi_in_one_out_count_24h_max,4.232540607452393
graph_out_nb_burst_day_txn_ratio_mean,4.078892230987549
graph_out_nb_multi_in_one_out_count_24h_mean,3.8301830291748047
out_txn_count,3.3475067615509033
first_month_txn_count,3.228776454925537
daily_txn_count_max,3.1384806632995605
out_active_days,2.491135597229004
fast_in_out_out_amount_ratio_6h,1.7732603549957275
graph_component_density,0.3290996551513672
