feature,gain
graph_nb_total_amount_sum_max,237.5770263671875
graph_nb_total_amount_sum_mean,151.54324340820312
daily_txn_count_mean,57.27606201171875
daily_txn_count_max,46.75645446777344
graph_two_hop_neighbor_count,15.55985164642334
graph_neighbor_degree_max,9.226984024047852
counterparty_count,7.469017505645752
graph_nb_total_txn_count_mean,7.254890441894531
graph_neighbor_degree_std,4.315468788146973
one_in_multi_out_in_amount_ratio_24h,3.679954767227173
out_amount_mean,3.5006115436553955
graph_nb_in_out_amount_ratio_max,3.4862968921661377
total_txn_count,3.3011527061462402
graph_reciprocal_ratio,3.1747918128967285
counterparty_amount_max,3.1555075645446777
graph_nb_in_amount_sum_mean,2.8369603157043457
graph_neighbor_degree_mean,2.7501354217529297
in_txn_count,2.5920863151550293
graph_nb_burst_day_amount_ratio_max,2.5347533226013184
graph_out_nb_max_prior_in_count_before_out_24h_mean,2.480733871459961
daily_amount_sum_max,2.440011978149414
region_code,2.4204037189483643
monthly_amount_sum_cv,2.3452963829040527
max_next_out_count_after_in_24h,2.283849000930786
in_active_months,2.265575647354126
burst_day_txn_ratio,2.2152059078216553
in_amount_mean,2.2106971740722656
graph_nb_multi_in_one_out_count_24h_max,2.2093732357025146
graph_out_nb_in_out_amount_ratio_mean,2.1754987239837646
counterparty_txn_max,2.1655571460723877
graph_in_nb_in_amount_sum_mean,2.080000638961792
in_amount_max,2.0165021419525146
daily_amount_sum_mean,2.010777235031128
graph_nb_burst_day_txn_ratio_max,1.9948441982269287
graph_in_nb_total_txn_count_mean,1.9926071166992188
activity_hour_nunique,1.918389081954956
account_age_months,1.9183168411254883
graph_nb_total_txn_count_max,1.902949571609497
graph_out_nb_out_amount_sum_mean,1.801078200340271
out_amount_median,1.794416904449463
graph_nb_burst_day_txn_ratio_mean,1.7450906038284302
graph_fan_in_out_balance,1.7413610219955444
in_amount_median,1.7245783805847168
out_counterparty_nunique,1.7097877264022827
in_active_days,1.66160249710083
out_round_1000_ratio,1.588026762008667
graph_nb_counterparty_amount_top_ratio_max,1.5766003131866455
out_round_1000_count,1.570874810218811
graph_nb_burst_day_amount_ratio_mean,1.5388376712799072
graph_out_nb_burst_day_amount_ratio_mean,1.5244005918502808
graph_nb_max_prior_in_count_before_out_24h_mean,1.5213885307312012
net_amount,1.50563645362854
graph_in_nb_max_prior_in_count_before_out_24h_mean,1.4916210174560547
out_amount_max,1.4823330640792847
counterparty_txn_mean,1.462598443031311
graph_nb_counterparty_txn_top_ratio_max,1.4462404251098633
monthly_txn_count_std,1.438138484954834
graph_nb_counterparty_amount_top_ratio_mean,1.4116902351379395
graph_nb_fast_in_out_count_24h_mean,1.4094642400741577
graph_in_nb_burst_day_amount_ratio_mean,1.4092957973480225
monthly_amount_sum_std,1.3958003520965576
graph_in_nb_in_out_amount_ratio_mean,1.3626418113708496
graph_in_nb_burst_day_txn_ratio_mean,1.3563183546066284
graph_nb_fast_in_out_balance_ratio_24h_max,1.343152403831482
prior_in_before_out_mean_delay_min_24h,1.2862528562545776
in_amount_sum,1.2799848318099976
total_amount_sum,1.2539215087890625
graph_nb_max_next_out_count_after_in_24h_mean,1.241332769393921
pagerank,1.2221899032592773
in_round_1000_ratio,1.216712236404419
graph_component_size,1.2093040943145752
activity_hour_entropy,1.1858975887298584
in_small_amount_count,1.1479182243347168
activity_hour_txn_max_ratio,1.137803554534912
graph_in_nb_max_next_out_count_after_in_24h_mean,1.1112480163574219
graph_in_nb_total_amount_sum_mean,1.1049388647079468
