feature,gain
daily_txn_count_mean,4807.43212890625
graph_nb_total_amount_sum_max,2095.693603515625
graph_nb_total_amount_sum_mean,1105.662841796875
graph_two_hop_neighbor_count,404.0016784667969
total_amount_sum,254.7452850341797
graph_neighbor_degree_max,133.01002502441406
daily_amount_sum_max,76.40894317626953
graph_neighbor_degree_mean,68.96461486816406
graph_nb_counterparty_amount_top_ratio_max,67.1285400390625
graph_nb_fast_in_out_count_24h_mean,64.26145935058594
graph_reciprocal_ratio,48.375885009765625
graph_nb_burst_day_amount_ratio_max,45.88395690917969
total_txn_count,43.90382766723633
counterparty_amount_max,42.396522521972656
pagerank,37.44095230102539
graph_nb_burst_day_txn_ratio_mean,36.56438446044922
graph_nb_in_amount_sum_mean,36.34654235839844
graph_nb_burst_day_txn_ratio_max,36.2514533996582
daily_amount_sum_mean,35.02416229248047
graph_out_nb_max_prior_in_count_before_out_24h_mean,34.442718505859375
monthly_amount_sum_std,34.26401138305664
out_amount_max,32.38831329345703
counterparty_amount_top_ratio,31.08573341369629
activity_hour_nunique,29.714805603027344
graph_neighbor_degree_std,29.189210891723633
burst_day_txn_ratio,24.800277709960938
in_active_months,24.53923797607422
monthly_amount_sum_cv,23.972253799438477
graph_nb_counterparty_amount_top_ratio_mean,23.920635223388672
out_night_txn_count,23.746944427490234
graph_nb_max_prior_in_count_before_out_24h_mean,22.893457412719727
monthly_txn_count_cv,22.636194229125977
activity_hour_entropy,22.311307907104492
out_night_txn_ratio,22.129188537597656
in_active_days,21.917875289916992
graph_nb_fast_in_out_balance_ratio_24h_max,21.749832153320312
counterparty_txn_top_ratio,21.306533813476562
in_small_amount_count,21.089109420776367
out_round_1000_ratio,20.80992317199707
graph_nb_total_txn_count_mean,20.801782608032227
monthly_amount_sum_mean,20.4404296875
graph_nb_counterparty_txn_top_ratio_max,20.153261184692383
graph_in_nb_max_prior_in_count_before_out_24h_mean,19.895936965942383
in_amount_mean,19.67024040222168
daily_txn_count_cv,19.335203170776367
monthly_txn_count_mean,19.30988311767578
out_amount_mean,19.236698150634766
graph_in_nb_in_amount_sum_mean,18.986614227294922
graph_in_nb_counterparty_txn_top_ratio_mean,18.903032302856445
graph_in_nb_burst_day_amount_ratio_mean,18.326251983642578
graph_in_nb_in_out_amount_ratio_mean,18.298542022705078
net_amount,18.092439651489258
counterparty_amount_mean,17.99104118347168
in_small_amount_ratio,17.93758201599121
burst_day_amount_ratio,17.333330154418945
out_active_months,17.29290771484375
graph_in_nb_max_next_out_count_after_in_24h_mean,16.472801208496094
graph_nb_total_txn_count_max,15.683280944824219
graph_in_two_hop_reach,15.667060852050781
activity_hour_txn_max_ratio,15.599225044250488
graph_in_nb_total_amount_sum_mean,15.286952018737793
graph_out_nb_counterparty_amount_top_ratio_mean,14.424951553344727
graph_in_nb_burst_day_txn_ratio_mean,14.188456535339355
graph_nb_counterparty_txn_top_ratio_mean,14.13066577911377
daily_amount_sum_cv,14.112223625183105
out_round_1000_count,13.828184127807617
txn_interarrival_min_cv,13.617965698242188
in_amount_max,13.369161605834961
txn_interarrival_min_mean,13.27771282196045
in_amount_median,13.219945907592773
graph_out_nb_total_amount_sum_mean,13.09653377532959
graph_nb_max_next_out_count_after_in_24h_max,12.976541519165039
graph_fan_in_out_balance,12.783889770507812
in_round_1000_ratio,12.479170799255371
graph_out_nb_in_out_amount_ratio_mean,12.223020553588867
counterparty_txn_mean,11.976524353027344
txn_interarrival_min_std,11.233474731445312
in_amount_sum,11.008468627929688
graph_in_nb_counterparty_amount_top_ratio_mean,10.279563903808594
txn_count_growth,10.215456008911133
daily_txn_count_std,10.10526180267334
out_counterparty_nunique,9.930939674377441
graph_out_nb_total_non_positive_amount_count_mean,9.647445678710938
out_small_amount_ratio,9.54691219329834
graph_component_size,9.416783332824707
fast_in_out_mean_delay_min_24h,9.260986328125
graph_in_nb_fast_in_out_count_24h_mean,9.164815902709961
graph_out_nb_out_amount_sum_mean,9.01408576965332
out_amount_sum,8.638599395751953
graph_nb_multi_in_one_out_count_24h_max,8.512543678283691
in_round_1000_count,8.46554183959961
out_txn_per_active_day,8.272383689880371
in_txn_count,8.127589225769043
in_txn_per_active_day,7.896322727203369
graph_nb_burst_day_amount_ratio_mean,6.8651123046875
out_active_days,6.562455177307129
in_out_amount_ratio,6.207584857940674
in_out_count_ratio,5.09006929397583
graph_component_edge_count,4.8970947265625
out_txn_count,4.715207099914551
daily_txn_count_max,3.151031017303467
out_amount_median,1.765625
