feature,gain
graph_nb_total_amount_sum_max,183.735595703125
graph_nb_total_amount_sum_mean,133.63690185546875
daily_txn_count_mean,43.64615249633789
daily_txn_count_max,25.583431243896484
graph_component_size,19.35634994506836
graph_two_hop_neighbor_count,14.637908935546875
graph_neighbor_degree_max,6.70391321182251
one_in_multi_out_in_amount_ratio_24h,3.0170280933380127
graph_reciprocal_ratio,2.9844963550567627
total_txn_count,2.9737071990966797
graph_nb_burst_day_txn_ratio_max,2.7090346813201904
graph_neighbor_degree_std,2.6816747188568115
graph_nb_burst_day_amount_ratio_max,2.4716901779174805
counterparty_count,2.4416909217834473
graph_in_nb_out_amount_sum_mean,2.4373693466186523
graph_out_nb_max_prior_in_count_before_out_24h_mean,2.377728223800659
out_active_months,2.348145008087158
graph_nb_total_txn_count_mean,2.319781541824341
graph_out_nb_fast_in_out_count_24h_mean,2.259648323059082
daily_amount_sum_max,2.197664976119995
monthly_amount_sum_cv,2.120327949523926
in_txn_count,2.1011440753936768
graph_neighbor_degree_mean,2.0259203910827637
graph_fan_in_out_balance,1.9941742420196533
graph_out_degree,1.9696507453918457
in_active_days,1.969251036643982
graph_in_nb_in_amount_sum_mean,1.9131097793579102
graph_nb_fast_in_out_count_24h_max,1.9003747701644897
out_amount_mean,1.8866876363754272
graph_nb_in_amount_sum_mean,1.8831100463867188
in_active_months,1.7934556007385254
graph_nb_max_next_out_count_after_in_24h_mean,1.7859055995941162
pagerank,1.7595207691192627
monthly_txn_count_std,1.697774052619934
graph_nb_total_self_loop_count_mean,1.6610908508300781
graph_in_nb_in_out_amount_ratio_mean,1.6596179008483887
last_month_txn_count,1.6501660346984863
graph_nb_counterparty_amount_top_ratio_mean,1.6387686729431152
out_amount_median,1.605454444885254
graph_in_nb_fast_in_out_count_24h_mean,1.6030609607696533
graph_in_nb_multi_in_one_out_count_24h_mean,1.5945121049880981
daily_amount_sum_mean,1.578739881515503
in_small_amount_count,1.5773484706878662
activity_hour_nunique,1.5123491287231445
graph_nb_multi_in_one_out_count_24h_max,1.4725415706634521
out_round_1000_ratio,1.4683837890625
graph_nb_fast_in_out_balance_ratio_24h_mean,1.4677181243896484
out_round_1000_count,1.4460136890411377
in_amount_mean,1.437641978263855
monthly_amount_sum_std,1.4142621755599976
counterparty_txn_mean,1.3823349475860596
counterparty_amount_top_ratio,1.379130482673645
graph_in_nb_max_prior_in_count_before_out_24h_mean,1.3780221939086914
counterparty_txn_max,1.3279868364334106
graph_in_nb_burst_day_amount_ratio_mean,1.3186323642730713
graph_nb_fast_in_out_balance_ratio_24h_max,1.3112887144088745
graph_nb_max_prior_in_count_before_out_24h_mean,1.3061999082565308
counterparty_txn_top_ratio,1.2859697341918945
out_amount_sum,1.2794079780578613
net_amount,1.279404878616333
graph_in_nb_total_amount_sum_mean,1.2772661447525024
graph_nb_counterparty_txn_top_ratio_max,1.2674099206924438
in_out_amount_ratio,1.264910340309143
graph_out_nb_fast_in_out_balance_ratio_24h_mean,1.235125184059143
in_amount_max,1.2205538749694824
graph_out_nb_out_amount_sum_mean,1.18450927734375
graph_nb_burst_day_txn_ratio_mean,1.1788145303726196
graph_nb_counterparty_amount_top_ratio_max,1.178515911102295
in_amount_sum,1.17793869972229
graph_out_nb_in_out_amount_ratio_mean,1.135170817375183
monthly_txn_count_cv,1.1178642511367798
graph_in_nb_max_next_out_count_after_in_24h_mean,1.1129326820373535
activity_hour_entropy,1.1077386140823364
in_small_amount_ratio,1.0990785360336304
daily_txn_count_std,1.0891786813735962
graph_component_edge_count,1.0685747861862183
graph_in_nb_counterparty_amount_top_ratio_mean,1.0634742975234985
counterparty_amount_mean,1.0449414253234863
out_amount_max,1.0433449745178223
in_round_1000_ratio,1.042401909828186
burst_day_amount_ratio,1.0175210237503052
activity_hour_txn_max_ratio,1.0144495964050293
graph_in_nb_burst_day_txn_ratio_mean,1.0079628229141235
in_amount_median,0.9795656204223633
out_night_txn_ratio,0.9745199084281921
daily_amount_sum_cv,0.9684962034225464
counterparty_amount_max,0.9281215071678162
graph_in_nb_total_self_loop_count_mean,0.9240946769714355
txn_interarrival_min_cv,0.9112123250961304
graph_nb_total_self_loop_count_max,0.8792492151260376
out_night_txn_count,0.8771736025810242
out_txn_count,0.8589814901351929
graph_out_nb_counterparty_amount_top_ratio_mean,0.8463817834854126
fast_in_out_in_amount_ratio_6h,0.8276389837265015
graph_in_two_hop_reach,0.826806366443634
out_txn_per_active_day,0.8251404762268066
graph_in_nb_counterparty_txn_top_ratio_mean,0.8151877522468567
txn_interarrival_min_mean,0.8111279606819153
graph_out_nb_in_amount_sum_mean,0.7683221101760864
out_small_amount_ratio,0.7535516619682312
prior_in_before_out_mean_delay_min_24h,0.7471683025360107
graph_nb_max_next_out_count_after_in_24h_max,0.7403243780136108
total_amount_sum,0.7350568771362305
