feature,coef,abs_coef
self::account_age_months,-0.6798498807409017,0.6798498807409017
mix::counterparty_amount_top_ratio,-0.3614850337023886,0.3614850337023886
self::counterparty_amount_top_ratio,-0.35074941362992257,0.35074941362992257
self::counterparty_txn_top_ratio,-0.33710256203773536,0.33710256203773536
delta::account_age_months,-0.3074805545187769,0.3074805545187769
delta::counterparty_txn_mean,0.28449525450806107,0.28449525450806107
und_nb::counterparty_txn_mean,0.28278514727926773,0.28278514727926773
in_nb::counterparty_txn_mean,0.27736843405799516,0.27736843405799516
delta::region_code,-0.2728310858641239,0.2728310858641239
mix::txn_interarrival_min_cv,-0.270450097544679,0.270450097544679
und_nb::counterparty_amount_top_ratio,-0.2307687391775571,0.2307687391775571
delta::txn_interarrival_min_cv,0.22028240006212443,0.22028240006212443
out_nb::in_active_months,-0.21878346291767362,0.21878346291767362
delta::txn_interarrival_min_mean,-0.21746445573680145,0.21746445573680145
self::monthly_txn_count_cv,-0.2089658293689375,0.2089658293689375
self::txn_interarrival_min_mean,-0.20504765700871586,0.20504765700871586
mix::burst_day_amount_ratio,-0.20287989824291136,0.20287989824291136
self::monthly_amount_sum_cv,-0.20117845193242817,0.20117845193242817
in_nb::in_txn_per_active_day,0.19214936978749492,0.19214936978749492
delta::counterparty_txn_top_ratio,-0.19204315363338467,0.19204315363338467
self::activity_hour_txn_max_ratio,-0.1871126723226469,0.1871126723226469
in_nb::txn_interarrival_min_cv,0.18468497797614006,0.18468497797614006
delta::in_round_1000_ratio,-0.17993863542771793,0.17993863542771793
self::burst_day_amount_ratio,-0.17949885635407947,0.17949885635407947
self::in_active_months,-0.179418129870403,0.179418129870403
in_nb::counterparty_amount_top_ratio,-0.17733887999023334,0.17733887999023334
delta::counterparty_count,-0.1645044020010388,0.1645044020010388
self::txn_interarrival_min_std,-0.16157374188880794,0.16157374188880794
und_nb::counterparty_count,-0.1595028790075828,0.1595028790075828
und_nb::txn_interarrival_min_mean,-0.15704444438133544,0.15704444438133544
delta::txn_interarrival_min_std,-0.15535853954241666,0.15535853954241666
delta::out_counterparty_nunique,-0.1549774504434523,0.1549774504434523
delta::in_counterparty_nunique,-0.15126895377969352,0.15126895377969352
out_nb::in_counterparty_nunique,-0.14686730603233517,0.14686730603233517
und2_nb::in_active_months,-0.1467075582224912,0.1467075582224912
self::burst_day_txn_ratio,-0.14619793602946346,0.14619793602946346
und_nb::txn_interarrival_min_cv,0.14579340656918008,0.14579340656918008
und2_nb::counterparty_amount_top_ratio,-0.1440320959886364,0.1440320959886364
und_nb::in_counterparty_nunique,-0.1429756156643203,0.1429756156643203
und_nb::in_active_months,-0.14039777124485137,0.14039777124485137
self::activity_hour_entropy,-0.13946505287419192,0.13946505287419192
out_nb::fast_in_out_mean_delay_min_6h,-0.13806344184744762,0.13806344184744762
und_nb::out_counterparty_nunique,-0.1376588780027321,0.1376588780027321
out_nb::counterparty_count,-0.13742447496910967,0.13742447496910967
out_nb::in_active_days,-0.13626803646912988,0.13626803646912988
in_nb::fast_in_out_mean_delay_min_6h,0.1332083653139926,0.1332083653139926
und2_nb::counterparty_txn_top_ratio,-0.1327547933595982,0.1327547933595982
in_nb::out_counterparty_nunique,-0.13096175111316896,0.13096175111316896
delta::prior_in_before_out_mean_delay_min_24h,-0.1306852219297244,0.1306852219297244
in_nb::in_active_days,0.1297452572913031,0.1297452572913031
mix::region_code,-0.12931155809247663,0.12931155809247663
out_nb::daily_txn_count_cv,-0.12912763405848274,0.12912763405848274
self::in_round_1000_ratio,-0.12841709745989763,0.12841709745989763
