feature,coef,abs_coef
mix::counterparty_amount_top_ratio,-0.4732960329981851,0.4732960329981851
self::counterparty_amount_top_ratio,-0.4074200880907427,0.4074200880907427
self::counterparty_txn_top_ratio,-0.38859792877702654,0.38859792877702654
und_nb::counterparty_amount_top_ratio,-0.269784564813008,0.269784564813008
delta::txn_interarrival_min_mean,-0.2650105408727316,0.2650105408727316
mix::txn_interarrival_min_cv,-0.25073373659779485,0.25073373659779485
und_nb::counterparty_txn_mean,0.2493026837321082,0.2493026837321082
out_nb::in_active_months,-0.2489169628795622,0.2489169628795622
delta::counterparty_txn_mean,0.24698851881630451,0.24698851881630451
in_nb::counterparty_txn_mean,0.24313650139993706,0.24313650139993706
self::monthly_txn_count_cv,-0.2429851546990649,0.2429851546990649
self::monthly_amount_sum_cv,-0.22793745789410993,0.22793745789410993
delta::counterparty_txn_top_ratio,-0.2267435109716008,0.2267435109716008
self::txn_interarrival_min_mean,-0.22657165026767453,0.22657165026767453
mix::burst_day_amount_ratio,-0.22441825960955172,0.22441825960955172
mix::counterparty_txn_top_ratio,-0.21956453426295994,0.21956453426295994
self::activity_hour_txn_max_ratio,-0.21712269821849148,0.21712269821849148
self::burst_day_amount_ratio,-0.21230328390398207,0.21230328390398207
in_nb::counterparty_amount_top_ratio,-0.19675219091566523,0.19675219091566523
delta::in_round_1000_ratio,-0.1960750466692173,0.1960750466692173
und2_nb::counterparty_amount_top_ratio,-0.18758575415795575,0.18758575415795575
in_nb::fast_in_out_mean_delay_min_6h,0.18569155453016595,0.18569155453016595
delta::txn_interarrival_min_std,-0.1849517805792195,0.1849517805792195
self::burst_day_txn_ratio,-0.18205138828730041,0.18205138828730041
delta::in_active_months,-0.1813149532560549,0.1813149532560549
self::in_active_months,-0.179624755642614,0.179624755642614
und_nb::txn_interarrival_min_mean,-0.1769540706869523,0.1769540706869523
und2_nb::in_active_months,-0.17613038307972606,0.17613038307972606
delta::txn_interarrival_min_cv,0.17495081566243514,0.17495081566243514
in_nb::in_txn_per_active_day,0.16769345061539545,0.16769345061539545
delta::txn_interarrival_min_min,-0.1665632145874519,0.1665632145874519
und2_nb::counterparty_txn_top_ratio,-0.16435903784745326,0.16435903784745326
self::txn_interarrival_min_std,-0.16374181293724532,0.16374181293724532
und_nb::daily_amount_sum_cv,-0.1635562581455048,0.1635562581455048
delta::out_counterparty_nunique,-0.16350559517511015,0.16350559517511015
und_nb::fast_in_out_mean_delay_min_6h,0.1624177901251754,0.1624177901251754
delta::counterparty_count,-0.16125499655174738,0.16125499655174738
in_nb::txn_interarrival_min_cv,0.16050763404554924,0.16050763404554924
und_nb::in_active_months,-0.159969169548013,0.159969169548013
delta::out_active_months,-0.15624400241821526,0.15624400241821526
und_nb::counterparty_count,-0.1505367693759017,0.1505367693759017
delta::monthly_txn_count_cv,-0.15027579377014852,0.15027579377014852
delta::in_counterparty_nunique,-0.14619381328253864,0.14619381328253864
out_nb::daily_txn_count_cv,-0.14535559928700628,0.14535559928700628
delta::in_small_amount_ratio,-0.14522039247364185,0.14522039247364185
mix::burst_day_txn_ratio,-0.1434109630749439,0.1434109630749439
und2_nb::txn_interarrival_min_mean,-0.14194463712730387,0.14194463712730387
out_nb::in_counterparty_nunique,-0.13972370897058264,0.13972370897058264
delta::prior_in_before_out_mean_delay_min_24h,-0.13627035301173326,0.13627035301173326
out_nb::in_active_days,-0.13573465433408438,0.13573465433408438
und_nb::in_counterparty_nunique,-0.1344026702809483,0.1344026702809483
in_nb::out_counterparty_nunique,-0.1336444276919294,0.1336444276919294
in_nb::out_active_months,-0.13229944037721633,0.13229944037721633
und_nb::out_counterparty_nunique,-0.1320415538562138,0.1320415538562138
und_nb::burst_day_amount_ratio,-0.1308540812290157,0.1308540812290157
mix::daily_txn_count_cv,-0.1305563820243421,0.1305563820243421
und2_nb::daily_txn_count_std,-0.12934083800857435,0.12934083800857435
delta::fast_in_out_mean_delay_min_24h,-0.12920405380939068,0.12920405380939068
out_nb::counterparty_count,-0.12907245598001824,0.12907245598001824
delta::fast_in_out_in_amount_ratio_6h,-0.12799541234674144,0.12799541234674144
und2_nb::daily_txn_count_max,-0.12641423977096256,0.12641423977096256
und2_nb::max_prior_in_count_before_out_24h,-0.12466049210029025,0.12466049210029025
self::activity_hour_entropy,-0.12438773463878984,0.12438773463878984
delta::out_small_amount_ratio,-0.12357733905645675,0.12357733905645675
self::daily_amount_sum_cv,-0.12343825388079623,0.12343825388079623
delta::monthly_amount_sum_cv,-0.12316289424179087,0.12316289424179087
und_nb::txn_interarrival_min_cv,0.12200405003714286,0.12200405003714286
out_nb::fast_in_out_mean_delay_min_6h,-0.12176058012323002,0.12176058012323002
in_nb::in_active_days,0.12124085368947325,0.12124085368947325
und2_nb::daily_amount_sum_cv,-0.11763516628446906,0.11763516628446906
und2_nb::daily_txn_count_cv,-0.11609048442405272,0.11609048442405272
delta::fast_in_out_in_amount_ratio_24h,-0.115737817279808,0.115737817279808
out_nb::counterparty_amount_top_ratio,-0.11470064809628085,0.11470064809628085
self::txn_interarrival_min_min,-0.11445132866949453,0.11445132866949453
und_nb::txn_interarrival_min_std,-0.11362549078354553,0.11362549078354553
und_nb::in_round_1000_ratio,-0.11262423160242463,0.11262423160242463
in_nb::out_round_1000_ratio,0.11201858089563235,0.11201858089563235
und_nb::activity_hour_entropy,-0.1117503828398505,0.1117503828398505
out_nb::daily_amount_sum_cv,-0.10944117479150699,0.10944117479150699
in_nb::txn_interarrival_min_mean,-0.10915386511114233,0.10915386511114233
mix::out_round_1000_ratio,-0.10874236609070234,0.10874236609070234
out_nb::prior_in_before_out_mean_delay_min_6h,-0.10849830418089003,0.10849830418089003
delta::fast_in_out_mean_delay_min_6h,0.10830856070464154,0.10830856070464154
und_nb::out_active_months,-0.10720056793315273,0.10720056793315273
delta::out_small_amount_count,-0.10704192644403612,0.10704192644403612
in_nb::out_small_amount_count,-0.10692354751115078,0.10692354751115078
delta::fast_in_out_count_24h,-0.10617349731773011,0.10617349731773011
in_nb::prior_in_before_out_mean_delay_min_6h,0.10446671374929613,0.10446671374929613
und2_nb::multi_in_one_out_mean_amount_ratio_24h,-0.10327692467404703,0.10327692467404703
out_nb::fast_in_out_count_24h,-0.10295679257333001,0.10295679257333001
out_nb::activity_hour_nunique,-0.10242135528546427,0.10242135528546427
und2_nb::in_counterparty_nunique,-0.10206686306675321,0.10206686306675321
und_nb::in_txn_per_active_day,0.10152480394354911,0.10152480394354911
self::daily_txn_count_cv,-0.10150228989041153,0.10150228989041153
und2_nb::prior_in_before_out_mean_delay_min_1h,-0.10146372079972088,0.10146372079972088
delta::fast_in_out_count_1h,-0.10096792280496335,0.10096792280496335
mix::txn_interarrival_min_mean,-0.10058725446024921,0.10058725446024921
self::in_round_1000_ratio,-0.100017756338395,0.100017756338395
und2_nb::txn_interarrival_min_std,-0.09998003826206711,0.09998003826206711
delta::daily_amount_sum_cv,-0.09984901378670936,0.09984901378670936
out_nb::activity_hour_entropy,-0.09897370545055093,0.09897370545055093
delta::out_active_days,-0.0989336392695773,0.0989336392695773
und_nb::fast_in_out_in_amount_ratio_6h,-0.09879323721421582,0.09879323721421582
out_nb::in_txn_count,-0.09789930634858658,0.09789930634858658
und_nb::out_round_1000_ratio,0.0970815423036526,0.0970815423036526
out_nb::in_txn_per_active_day,-0.09677157869375119,0.09677157869375119
und_nb::out_small_amount_count,-0.09666195897795132,0.09666195897795132
in_nb::burst_day_amount_ratio,-0.09629530474073876,0.09629530474073876
und_nb::fast_in_out_count_24h,-0.09607651990823907,0.09607651990823907
mix::in_active_months,-0.09592740072902768,0.09592740072902768
delta::fast_in_out_mean_delay_min_1h,-0.09542463394163017,0.09542463394163017
delta::prior_in_before_out_count_24h,-0.09483869527630331,0.09483869527630331
self::txn_interarrival_min_cv,-0.09477546066840582,0.09477546066840582
in_nb::daily_amount_sum_cv,-0.09436348730003435,0.09436348730003435
delta::fast_in_out_balance_ratio_6h,-0.09418044736745029,0.09418044736745029
self::out_round_1000_ratio,-0.0940793530835668,0.0940793530835668
out_nb::fast_in_out_count_1h,-0.09366310318176153,0.09366310318176153
und_nb::prior_in_before_out_mean_delay_min_6h,0.09354197045361926,0.09354197045361926
delta::fast_in_out_count_6h,-0.09351613989037585,0.09351613989037585
und2_nb::in_active_days,-0.09278674452769894,0.09278674452769894
und_nb::fast_in_out_count_1h,-0.09275930216146969,0.09275930216146969
self::activity_hour_nunique,-0.09269160804323583,0.09269160804323583
und2_nb::activity_hour_txn_max_ratio,-0.09156674844877749,0.09156674844877749
delta::one_in_multi_out_count_24h,-0.09077618207640759,0.09077618207640759
out_nb::fast_in_out_count_6h,-0.09008012180310314,0.09008012180310314
in_nb::fast_in_out_in_amount_ratio_6h,-0.09004090435661007,0.09004090435661007
out_nb::in_small_amount_count,-0.0897313018653843,0.0897313018653843
und2_nb::activity_hour_nunique,-0.08920496148860277,0.08920496148860277
und2_nb::activity_hour_entropy,-0.08873242700155544,0.08873242700155544
out_nb::one_in_multi_out_count_24h,-0.08838031255787249,0.08838031255787249
delta::prior_in_before_out_count_6h,-0.08829757057724343,0.08829757057724343
in_nb::in_out_count_ratio,0.08824455923682807,0.08824455923682807
delta::multi_in_one_out_count_24h,-0.08812292845490449,0.08812292845490449
delta::prior_in_before_out_mean_delay_min_1h,-0.08800656658581957,0.08800656658581957
delta::prior_in_before_out_count_1h,-0.08789045217408266,0.08789045217408266
out_nb::txn_interarrival_min_mean,-0.08770576665134996,0.08770576665134996
und2_nb::burst_day_amount_ratio,-0.08754579511857463,0.08754579511857463
und2_nb::fast_in_out_mean_delay_min_1h,-0.08681098625692911,0.08681098625692911
self::out_active_months,-0.0865333063775678,0.0865333063775678
und_nb::in_small_amount_ratio,-0.08633447359057117,0.08633447359057117
und_nb::prior_in_before_out_count_24h,-0.08613774539562051,0.08613774539562051
mix::txn_interarrival_min_min,-0.08583145427549879,0.08583145427549879
und_nb::fast_in_out_in_amount_ratio_24h,-0.08494891901385543,0.08494891901385543
und2_nb::counterparty_count,-0.08458970869028483,0.08458970869028483
und_nb::fast_in_out_count_6h,-0.08380524927374611,0.08380524927374611
und2_nb::fast_in_out_mean_delay_min_6h,0.08365633588771822,0.08365633588771822
delta::multi_in_one_out_mean_amount_ratio_24h,-0.0835961916278196,0.0835961916278196
in_nb::prior_in_before_out_mean_delay_min_24h,-0.08348784250065996,0.08348784250065996
mix::activity_hour_txn_max_ratio,-0.08209059549710246,0.08209059549710246
und_nb::prior_in_before_out_mean_delay_min_24h,-0.08194332539792482,0.08194332539792482
und2_nb::prior_in_before_out_mean_delay_min_6h,0.08171894545136514,0.08171894545136514
out_nb::max_prior_in_count_before_out_24h,-0.08167602816325538,0.08167602816325538
delta::in_self_loop_count,-0.08163678605695263,0.08163678605695263
delta::total_self_loop_count,-0.08163678605695263,0.08163678605695263
delta::out_self_loop_count,-0.08163678605695263,0.08163678605695263
und_nb::one_in_multi_out_count_24h,-0.0815615929067508,0.0815615929067508
delta::fast_in_out_balance_ratio_24h,-0.08155569523592525,0.08155569523592525
in_nb::total_self_loop_count,-0.08149187519030758,0.08149187519030758
in_nb::in_self_loop_count,-0.08149187519030758,0.08149187519030758
in_nb::out_self_loop_count,-0.08149187519030758,0.08149187519030758
delta::prior_in_before_out_out_amount_ratio_1h,-0.08097206564180683,0.08097206564180683
und_nb::prior_in_before_out_count_1h,-0.0800812179412534,0.0800812179412534
und_nb::prior_in_before_out_count_6h,-0.07982725296868615,0.07982725296868615
und_nb::in_self_loop_count,-0.07982015981665726,0.07982015981665726
und_nb::total_self_loop_count,-0.07982015981665726,0.07982015981665726
und_nb::out_self_loop_count,-0.07982015981665726,0.07982015981665726
in_nb::fast_in_out_in_amount_ratio_24h,-0.07920640974998915,0.07920640974998915
und2_nb::in_night_txn_count,-0.07918251596635927,0.07918251596635927
und2_nb::txn_interarrival_min_cv,-0.0782811173496448,0.0782811173496448
und_nb::fast_in_out_mean_delay_min_24h,-0.07748036096768832,0.07748036096768832
delta::max_next_out_count_after_in_24h,-0.07663378407817455,0.07663378407817455
in_nb::daily_txn_count_std,0.0766156280042909,0.0766156280042909
delta::counterparty_amount_top_ratio,-0.07644130141782184,0.07644130141782184
und_nb::multi_in_one_out_count_24h,-0.07641582603960886,0.07641582603960886
out_nb::prior_in_before_out_out_amount_ratio_6h,-0.07599277258499361,0.07599277258499361
in_nb::counterparty_txn_max,0.07545443498293317,0.07545443498293317
mix::fast_in_out_mean_delay_min_6h,-0.07520126227357786,0.07520126227357786
und_nb::fast_in_out_mean_delay_min_1h,-0.07507078263450986,0.07507078263450986
und_nb::counterparty_txn_max,0.07489172286409145,0.07489172286409145
delta::fast_in_out_out_amount_ratio_1h,-0.07464483920696502,0.07464483920696502
und2_nb::one_in_multi_out_in_amount_ratio_24h,-0.0745757634742845,0.0745757634742845
und2_nb::out_active_months,-0.0742232058688288,0.0742232058688288
out_nb::prior_in_before_out_out_amount_ratio_24h,-0.07419046002624195,0.07419046002624195
in_nb::txn_interarrival_min_std,-0.07407214687526335,0.07407214687526335
mix::daily_amount_sum_cv,-0.07258756796638109,0.07258756796638109
in_nb::out_active_days,-0.07213757139426569,0.07213757139426569
out_nb::txn_interarrival_min_cv,-0.07213636101078084,0.07213636101078084
und2_nb::monthly_amount_sum_cv,-0.07198275590519236,0.07198275590519236
