feature,gain
graph_neighbor_degree_max,2595.971923828125
graph_two_hop_neighbor_count,1744.97412109375
daily_txn_count_max,1432.3453369140625
daily_txn_count_mean,642.198486328125
burst_day_txn_ratio,523.2012939453125
counterparty_amount_mean,460.34326171875
graph_in_two_hop_reach,275.85498046875
counterparty_amount_max,222.1910858154297
graph_nb_burst_day_txn_ratio_max,169.2177734375
graph_nb_counterparty_amount_top_ratio_mean,168.723388671875
graph_in_nb_fast_in_out_count_24h_mean,131.1948699951172
graph_nb_counterparty_amount_top_ratio_max,109.1201171875
graph_nb_in_out_amount_ratio_mean,108.8128662109375
dyn_cp_second_half_count,106.61551666259766
graph_nb_total_txn_count_mean,85.8263931274414
dyn_total_time_bucket_afternoon_count,78.27479553222656
daily_amount_sum_mean,67.89874267578125
graph_in_nb_in_amount_sum_mean,60.201515197753906
dyn_total_time_bucket_afternoon_ratio,58.666412353515625
in_amount_median,57.71389389038086
account_age_months,55.49939727783203
region_code,51.36195755004883
in_txn_count,44.5797119140625
dyn_in_week_amount_mean,42.7291145324707
dyn_total_amount_bin_b1_ratio,42.48599624633789
graph_nb_in_out_amount_ratio_max,41.22925567626953
graph_in_nb_max_prior_in_count_before_out_24h_mean,34.62696075439453
graph_in_nb_in_out_amount_ratio_mean,27.300922393798828
graph_nb_total_txn_count_max,22.228769302368164
dyn_in_amount_bin_b1_count,20.546649932861328
daily_amount_sum_max,10.569381713867188
dyn_in_amount_bin_b1_ratio,7.982214450836182
