feature,gain
dyn_total_week_txn_mean,4193.61767578125
dyn_total_active_week_count,3469.521484375
dyn_cp_second_half_count,795.4031372070312
dyn_total_week_amount_max,183.4508819580078
dyn_total_week_amount_mean,160.60275268554688
dyn_in_week_amount_max,157.82818603515625
dyn_in_amount_bin_b1_ratio,135.2596435546875
dyn_total_amount_bin_b1_ratio,129.9994659423828
dyn_cp_lost_second_half_count,110.5199203491211
dyn_total_time_bucket_afternoon_ratio,92.62481689453125
dyn_in_week_amount_mean,40.127803802490234
dyn_total_amount_bin_b0_ratio,36.88905334472656
dyn_total_amount_bin_b0_count,36.53105163574219
dyn_out_active_week_count,20.200408935546875
